,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10
T11,0.9591045059693992,0.902958683173366,0.9356585920599901,0.8932475726819249,0.9058770430986205,0.8819820981860893,0.9579352593387062,0.8607627082093828,0.8999555927042213,0.8694374857065053,1.0,0.8946268245011326,0.8855744054379318,0.9047315700088406,0.8970952053211794,0.8676234350462034,0.8786768701144051,0.8854916818863864,0.8403449214083303,0.8598688258923649,0.9524871283766001,0.9346688775222984,0.919895721279505,0.9283591359497673,0.9207803411703549,0.9455954786967751
T12,0.891786845319963,0.9086303928191316,0.9121702695841595,0.9040432092814029,0.9135678624360708,0.8910646822069581,0.864166695844217,0.8952771803108545,0.8970711979313386,0.8964443730004077,0.8946268245011326,1.0,0.8944326328418456,0.9042084956933197,0.9162406411661014,0.9004444660965624,0.8979976511587959,0.9213077234633705,0.8721750581883837,0.9080447169529857,0.8706732749618585,0.8726609344849687,0.8557895583539187,0.8702136544246671,0.8746263214723052,0.8830633362256634
T13,0.8937083592185212,0.904004137994567,0.9174236513769025,0.9061406024315818,0.9209974046461915,0.9222269068154455,0.8595089342928806,0.89907482813859,0.8988305902939031,0.9182794339506211,0.8855744054379318,0.8944326328418456,1.0,0.8869874698835841,0.9057831729422168,0.8967838075822552,0.9290067018204861,0.9207251108825448,0.8987220909424167,0.9119784789905762,0.8790566673220481,0.8719544303545443,0.8747798162468499,0.8959813454358418,0.8965816246340501,0.898849890191223
T14,0.9048002651835834,0.8915736052551465,0.9065096589904378,0.8855057192520986,0.9008541990913522,0.8707555542185622,0.8855397369541742,0.8704134903065192,0.9034421889950938,0.8751072894069112,0.9047315700088406,0.9042084956933197,0.8869874698835841,1.0,0.8730311470659243,0.8764004057271852,0.8842494753842045,0.8902052750709576,0.8552538277524823,0.8642670249632383,0.8796447864034825,0.8751503906355362,0.866950892674659,0.8858012523397741,0.8837172387450339,0.9005997932963012
T15,0.9023353573278852,0.9200412440388477,0.9342100907572675,0.9155486471949729,0.9174919916352288,0.9273329086423756,0.8754048431652297,0.9036688383990055,0.9125976870039274,0.908062498883198,0.8970952053211794,0.9162406411661014,0.9057831729422168,0.8730311470659243,1.0,0.9129889377077973,0.9168320092908424,0.9319851498775281,0.8916276917055793,0.9145594845005552,0.8794905517982959,0.8862819815328941,0.8795514900601926,0.884823963681982,0.8947208600216251,0.8994507305510803
T16,0.8872748999497008,0.9233627012985817,0.9207771601451445,0.8980334626892141,0.9217361440773011,0.9033129451675593,0.8489616998248162,0.9046658103967316,0.899709182783146,0.9071918266117323,0.8676234350462034,0.9004444660965624,0.8967838075822552,0.8764004057271852,0.9129889377077973,1.0,0.9225209956813135,0.9433771770300793,0.895441868984991,0.9289577516066571,0.8678468381084234,0.8822865033660044,0.8591094643376106,0.894773087651208,0.8854231425377141,0.8959550672563394
T17,0.8888376024060145,0.9250274364013316,0.9281371922647552,0.9211497796343205,0.9235226450804029,0.934970945552764,0.8591998651922208,0.9149676575049477,0.9029113223107773,0.9370614467900698,0.8786768701144051,0.8979976511587959,0.9290067018204861,0.8842494753842045,0.9168320092908424,0.9225209956813135,1.0,0.9375455973423015,0.9402545723632254,0.9421184928791372,0.8830866555987603,0.8919551268782999,0.8792066205375838,0.9078439633127956,0.907697406389559,0.9075167572611765
T18,0.9114013377509284,0.9389547921694356,0.9414889324258766,0.9157067821468015,0.9510143505109456,0.9246356107202375,0.8713880888752366,0.922355532385007,0.9084564860099358,0.9246023170344729,0.8854916818863864,0.9213077234633705,0.9207251108825448,0.8902052750709576,0.9319851498775281,0.9433771770300793,0.9375455973423015,1.0,0.9094529974152735,0.9431621658206011,0.8966529074726194,0.9071857331798027,0.8911532281503725,0.9192155606560466,0.9180645249412565,0.9183031733204992
T19,0.8475614625916394,0.8841489574157149,0.8973826238724865,0.8861783555322151,0.8949095369436727,0.9011051459353089,0.8210394440512184,0.888729908558572,0.8934866765797913,0.9201656680152365,0.8403449214083303,0.8721750581883837,0.8987220909424167,0.8552538277524823,0.8916276917055793,0.895441868984991,0.9402545723632254,0.9094529974152735,1.0,0.9143492092988134,0.8433204187363561,0.8631429276213558,0.8447185571113002,0.8736832399481124,0.8726010720258799,0.8691814526607308
T20,0.8774466295257186,0.929117868121606,0.9166928149105744,0.9193897117527265,0.9076373998937637,0.9173867402727602,0.8369655654175768,0.9196126690869312,0.8896630074950289,0.9190227044566043,0.8598688258923649,0.9080447169529857,0.9119784789905762,0.8642670249632383,0.9145594845005552,0.9289577516066571,0.9421184928791372,0.9431621658206011,0.9143492092988134,1.0,0.85950688252072,0.8764360641056924,0.8548796870619483,0.8781753906137026,0.8838943769491824,0.8846528951443381
NS_2,0.9523847350975259,0.9006393005040709,0.9348547506513302,0.8729187844985272,0.9178053150544798,0.8729953927636162,0.9537417194053045,0.8510031465396019,0.8689135600583273,0.8687455495235777,0.9524871283766001,0.8706732749618585,0.8790566673220481,0.8796447864034825,0.8794905517982959,0.8678468381084234,0.8830866555987603,0.8966529074726194,0.8433204187363561,0.85950688252072,1.0,0.968198240153351,0.9436687350758547,0.9509306148257478,0.9428968610357746,0.9512312315728678
