,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088
GSM2674165,0.9131265774794035,0.9079184143133556,0.8976755401381209,0.8911644662737943,0.8155024380762351,0.8734019419869311,0.9063701429312724,0.8981789050778279,0.9009746500819018,0.9131138617722576,1.0,0.8791320885880425,0.8955173472257604,0.8822919243184038,0.8840650964739818,0.8899494197742701,0.8932565522242366,0.8720293940218142,0.9096557168415621,0.8836765650362811,0.8497655088034343,0.891153452128839,0.9076170886433187,0.8544103405637992,0.8936806282398604,0.8827241803126127,0.8375556386527206,0.8946486896145017,0.8414663535779042
GSM3304957,0.9309290025744243,0.9197034127376884,0.904681190172258,0.91955628792964,0.9090453960616854,0.9003310342454071,0.936355543769636,0.9397243483282806,0.9107713853970147,0.9213948607763289,0.8791320885880425,1.0,0.9031616688363111,0.890902670698287,0.9374292794995808,0.9310746796126276,0.8784773865764564,0.9197845883764747,0.9243359975969362,0.9320156517644698,0.9235474253217696,0.9149692100870231,0.8856652084502633,0.8791807534897704,0.9451298490928022,0.9382078235509079,0.8468599598450919,0.9360298010761342,0.9355800395170515
GSM3304968,0.9265829214163931,0.9280714546202693,0.911380919405712,0.8909407121571195,0.8726061239991073,0.8991523685304634,0.9264581591302344,0.9211076231407572,0.8952043352417716,0.917264871119949,0.8955173472257604,0.9031616688363111,1.0,0.9105100817577962,0.9130079711388093,0.9157739511813615,0.9123333574300246,0.9058574009764774,0.9309191609387305,0.9136820787813611,0.8859143763174196,0.923996939521248,0.923541042860891,0.8984682105442771,0.9160676362070851,0.9252360900044128,0.858330130789184,0.9160067811669692,0.8953026204480938
GSM3304969,0.9300141532323124,0.9296183942151067,0.9089489372237759,0.8902575282922481,0.8780647818555793,0.8804296146954441,0.9286179166122462,0.9247286978429542,0.8914454470222211,0.9082728902505633,0.8822919243184038,0.890902670698287,0.9105100817577962,1.0,0.8945628732637144,0.905994656617804,0.9078683304593586,0.8804034903230823,0.9239740005760542,0.9052712194084721,0.898197506456019,0.9067852133025146,0.9159493414430736,0.8907275657741996,0.8971652990122267,0.8989845762416281,0.8704319752934586,0.9127501677666462,0.8835725921382568
GSM3304972,0.9339823499840967,0.9304195519302693,0.9179510169335906,0.9159776885290509,0.9087684123867126,0.9212559391875589,0.9451513104898047,0.9348173286228052,0.920882252429292,0.9338678549215792,0.8840650964739818,0.9374292794995808,0.9130079711388093,0.8945628732637144,1.0,0.936312171644519,0.876463830917329,0.9237548358916661,0.9297164412112257,0.9413971350731296,0.9193947172886756,0.9316485252426477,0.8897531268253542,0.8755073661516498,0.9545724583124371,0.9475597285082785,0.8418544762080014,0.9421579320032499,0.9217563303124349
GSM3304976,0.9456392979645024,0.9455032568799256,0.936885780814704,0.9361070855138951,0.9365314402135357,0.9283010774343872,0.9533182523823166,0.9466073657221901,0.9390939977758944,0.9440960821316833,0.8899494197742701,0.9310746796126276,0.9157739511813615,0.905994656617804,0.936312171644519,1.0,0.8848520314812395,0.9171828158852521,0.9300158799070412,0.9347269059710409,0.9306795970326665,0.9311898338847909,0.8952045388863442,0.875523714099196,0.9364897498223058,0.9406553019799374,0.8600932172238119,0.9479364030788004,0.9160948096849895
GSM3304978,0.9133642309441647,0.9131368319976906,0.8954091914557348,0.8698109967645743,0.8411968613573446,0.8795872990212406,0.9061798287652595,0.9037865812487009,0.8689279291339269,0.8956292069847174,0.8932565522242366,0.8784773865764564,0.9123333574300246,0.9078683304593586,0.876463830917329,0.8848520314812395,1.0,0.8773303102588638,0.9266523534815486,0.891056839705783,0.8651248686004308,0.9099827572149773,0.9532335576144628,0.9046374505250359,0.8790586779801449,0.8941874592840738,0.8841249504857032,0.8835343467753333,0.8727850755312435
GSM3304979,0.892764545837895,0.9028945126781316,0.876085011135299,0.8922635600129998,0.856615540359557,0.9221148859217019,0.9041149277888306,0.8964997228520113,0.8852542450005033,0.8921440010800672,0.8720293940218142,0.9197845883764747,0.9058574009764774,0.8804034903230823,0.9237548358916661,0.9171828158852521,0.8773303102588638,1.0,0.9121897893756774,0.9069607820520879,0.8987853196267037,0.9154053090008079,0.8924174559796219,0.9042633757151088,0.9176048445609019,0.9396092310291942,0.8611144906088961,0.9124014977455364,0.9078228661031209
GSM3305004,0.9478542695027028,0.9474584624966957,0.934714476772113,0.9160903570575056,0.8992148325233839,0.9151965050991736,0.9477683574283096,0.9412756379193913,0.9189014278272277,0.9335060899928943,0.9096557168415621,0.9243359975969362,0.9309191609387305,0.9239740005760542,0.9297164412112257,0.9300158799070412,0.9266523534815486,0.9121897893756774,1.0,0.9371952150681815,0.9132696594283415,0.9323272760543421,0.9343004936335186,0.9039183599271959,0.93786856578416,0.9375777298333053,0.8726111422163859,0.9364650238008763,0.9102591260413709
GSM3305008,0.9481634528130147,0.9421289322949745,0.9380326746136189,0.9281781404012647,0.9200195235470319,0.918702194811905,0.9517073138541686,0.942318143651719,0.9244958506683996,0.9381715191254499,0.8836765650362811,0.9320156517644698,0.9136820787813611,0.9052712194084721,0.9413971350731296,0.9347269059710409,0.891056839705783,0.9069607820520879,0.9371952150681815,1.0,0.9205037294644307,0.9334657179933479,0.9011995764372762,0.8699913267309927,0.9441260694010094,0.9378038580069457,0.845696678651847,0.9462621765760438,0.9111730090587606
