,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
GSM2674178,0.9703222044956914,0.9680367179610655,0.9737391179518816,0.9585032053071433,0.9599115135264666,0.9635170820536142,0.9485076718852273,0.9801828301053317,0.9719639284721073,0.9811245206093869,1.0,0.9824408967190456,0.9826689038218395,0.9794040521341358,0.9683176148629904,0.9471195688396632,0.9796796013023059,0.9379101777732509,0.980495809423143,0.9614720410474145,0.9294915324975748,0.9485796060768752,0.9410837447500916,0.934781217648924,0.7342501381875329,0.773393523915202,0.6518947353882005,0.8145014009850211,0.9493392368973453,0.9458481027275166,0.9352313411642721,0.9539007463110442,0.9587460479951866,0.9597340941352359,0.9531309785727345,0.9583450202758349,0.9499115140704613,0.9567586312469684,0.9607187602369904,0.9367286159554069,0.9341626050877642,0.9407903637307463,0.9416496580427359,0.9280094947609984,0.9341267782367411,0.9419408453648218,0.9345850586225012,0.9522435537400393,0.9537078364152528,0.9491978383884894,0.9408605239380291,0.9576295495719496,0.9314797755079294,0.9546360748206655
GSM2674179,0.9752352844120817,0.9730894662936718,0.979976725696628,0.9555449738440639,0.9592547077324343,0.9611151256601479,0.9425203671352183,0.9794607930856469,0.9730540562953198,0.9817124454336846,0.9824408967190456,1.0,0.9852273886031785,0.9776149285087344,0.969262487133349,0.9433397099943273,0.9762253939711972,0.9363907822981644,0.983372133411314,0.9595731621081023,0.9312039093629871,0.9475394586481992,0.9438816237290828,0.9335475396615628,0.7461124986566456,0.7745392947783751,0.6723411077593666,0.8240545999693342,0.9587606267456524,0.9546609064770918,0.9385876716273205,0.9629264488685899,0.9592990363426643,0.9617339392430889,0.9607167136424414,0.9674556274079865,0.9571766228888655,0.9626084689586587,0.9643270397973509,0.9378542078948222,0.9372356089500913,0.9362522752319224,0.9384809275706595,0.9246651282688889,0.9422674038900325,0.9486380428093923,0.9404627600590277,0.9602761360002565,0.9570313689428165,0.9503661631710693,0.9464402081433675,0.9643501031953801,0.9385734652028093,0.9572390279103905
GSM2674180,0.9721165645987947,0.9713101808197928,0.9780307446914358,0.958947142932931,0.9631171038263217,0.9614835285206433,0.9450396838114231,0.9821668837281189,0.9740627833669351,0.9757709668194854,0.9826689038218395,0.9852273886031785,1.0,0.9815914141926222,0.9717602007762906,0.9406015013267434,0.9755597100943167,0.9303660894404808,0.9863828063031822,0.9556945802324845,0.9286335152807268,0.9468520096881946,0.9451425869473514,0.9335141168667179,0.7311375288654537,0.7632253247818258,0.6526183932046639,0.8111504545662049,0.95124390609331,0.9459812826558187,0.9313608752214328,0.960379370226336,0.9595131204204671,0.9613192986893904,0.9599068700536325,0.9626891949902496,0.9569425535984001,0.9594980442396546,0.9594356713376622,0.9324898927639326,0.9292565095987844,0.9327567006651006,0.9419195469839717,0.9199248162755225,0.9356611273889529,0.943202367326019,0.9357158320824741,0.9573164178727149,0.9530303715609744,0.9433836218512762,0.9416996775472345,0.9618186870023735,0.9361849577606358,0.9532094514055907
GSM2674181,0.9647467072759958,0.9710369742516557,0.9694954705991915,0.9577314503763701,0.9687888824562255,0.9669184785398975,0.9492131682622573,0.9838216369263683,0.9715574505313536,0.9800807670522703,0.9794040521341358,0.9776149285087344,0.9815914141926222,1.0,0.9604505447968374,0.9458419941909786,0.9769822130708705,0.9273345877523463,0.9775490166383278,0.9527220351417439,0.9200239899068996,0.9443501610240115,0.9419661491954935,0.9314652478825713,0.7196252178125029,0.7672169363746523,0.6379107267461434,0.8046844543560561,0.9399432929466606,0.9316481114545012,0.9188803282926223,0.9515154956801398,0.9437163440468623,0.9514345830769683,0.9514326415707711,0.9535981823742226,0.9454664057211631,0.9477799477480938,0.953026326090116,0.9162421393523771,0.9149781152646875,0.9250154940930915,0.9320501982460031,0.9132211248986752,0.9367248287549652,0.9449095494299181,0.9321933644169164,0.955614410795894,0.9482008629245292,0.946178765567983,0.9433661872453353,0.963540423511712,0.9333987356761587,0.9531774176797572
GSM2674182,0.9723990111011336,0.9717030359430271,0.9750114019718835,0.9145249085282134,0.9268751958330852,0.9211234075912202,0.9080665846765151,0.9606494878694659,0.9509994736457741,0.9578815454543397,0.9683176148629904,0.969262487133349,0.9717602007762906,0.9604505447968374,1.0,0.9060961947647075,0.9620024399766933,0.9156702579833407,0.9661105227480383,0.9303974169617669,0.9143234824340578,0.9452682946311172,0.9384982191709664,0.9260629146605408,0.7136628307188718,0.738641864707543,0.6658388718850695,0.7872306910824706,0.946269460040333,0.9437247224630888,0.9367805077851464,0.9486809895177339,0.957046947545562,0.956870317680822,0.9544232966169289,0.9448639464191194,0.9553386351013665,0.9609172230903059,0.9428879690393737,0.9314708863265322,0.9181499321273263,0.9346302558791777,0.9353205375533542,0.8936017070587488,0.9393116239805044,0.9424734601884583,0.942591008207849,0.9403688509775036,0.93820037108498,0.9427684810598523,0.9246484917204132,0.9468766136200618,0.9364651286573182,0.9410386249126974
GSM2674183,0.9262135890165158,0.9371553076450676,0.917619292823351,0.9575584832426715,0.9613433522050016,0.9649556207992699,0.9662937276417669,0.9533243030076191,0.9467132590391681,0.9603163406657075,0.9471195688396632,0.9433397099943273,0.9406015013267434,0.9458419941909786,0.9060961947647075,1.0,0.960070315101506,0.9629832580016358,0.9506988243301567,0.977830551088402,0.8763835544874119,0.9113273257929152,0.9033253137905892,0.9006773285696166,0.7435618530732164,0.817078567749835,0.6495729243513382,0.8260990303841592,0.9141062867758514,0.8921726809734339,0.8696824739697087,0.9136975915768883,0.9070040332637576,0.9049001758773566,0.9211343141630738,0.9329037084690414,0.8950011231867568,0.9127461724546039,0.9359571485985332,0.8861359619266763,0.907769602923397,0.8786933242555297,0.8647449215150209,0.9095848186635861,0.8950911866762188,0.901122309343069,0.893880872123187,0.9326021096973922,0.9380548879180003,0.9219942256151341,0.9490199991187143,0.9354051248806262,0.8989038694420006,0.9429985128140937
GSM2674184,0.9660531082360707,0.9722148744704,0.967593399684015,0.9558417284634412,0.9650764604219488,0.9616769982360882,0.9546977988771795,0.9746809995994572,0.9648336129797509,0.9778112764258378,0.9796796013023059,0.9762253939711972,0.9755597100943167,0.9769822130708705,0.9620024399766933,0.960070315101506,1.0,0.9423895794301635,0.9762199919925931,0.9701413415504392,0.9218577543541054,0.9486394792984735,0.9371362894252486,0.9333495247810295,0.7380353596530359,0.781400630825229,0.6589577038186609,0.8209204850769225,0.9479465534695055,0.9371752394356095,0.9261480148843465,0.9552034780962934,0.9457884537131761,0.9559293751692842,0.9535090122075335,0.9599272870164222,0.9435834985437977,0.956979619787411,0.9614472914816001,0.9220960952607921,0.9257588699287882,0.9233801907764413,0.9207232716761832,0.9160374350339305,0.9378155395060046,0.9454607417394959,0.9423795938059791,0.9593101704458188,0.9634865938090317,0.9557024452828357,0.955160806112934,0.965257732914708,0.9348620983423863,0.9670845648768175
GSM2674185,0.9344017504460055,0.936619262099762,0.9195391955123994,0.9325830435550319,0.9320937414709921,0.9405162311791806,0.9381334925364646,0.9357943928699517,0.9443840400907029,0.9471480803719046,0.9379101777732509,0.9363907822981644,0.9303660894404808,0.9273345877523463,0.9156702579833407,0.9629832580016358,0.9423895794301635,1.0,0.9435664936560104,0.9639191189458183,0.8690877952641309,0.9166989398542812,0.9085164289832881,0.9058503183462328,0.7292722165162185,0.8112943085103435,0.6730999172816784,0.8091106718372454,0.9077899539354051,0.8945937097156135,0.8727932178686298,0.9043392130677111,0.9162182662075153,0.8991367923848594,0.9097032191730279,0.923988989232935,0.8974369678404889,0.9123032633827168,0.9204329413884796,0.8995951307260284,0.9189805522111787,0.8996579721358797,0.8735265070667799,0.903705872538577,0.8900271872473939,0.897734865511038,0.8870119288215355,0.9148759590942467,0.9194526292144248,0.916350923338936,0.9303239663273108,0.92072233792377,0.8966565785642587,0.9265542264985724
GSM2674186,0.9691763033819333,0.9679392610488529,0.9758711615891656,0.9653232956998531,0.9663638695944211,0.9661330608036979,0.9521110150759678,0.977370005096723,0.9730286650014549,0.9745163624404072,0.980495809423143,0.983372133411314,0.9863828063031822,0.9775490166383278,0.9661105227480383,0.9506988243301567,0.9762199919925931,0.9435664936560104,1.0,0.9647967416448199,0.9298495502910281,0.9463685498362516,0.9436690036769108,0.9331678942744747,0.7450451160399235,0.777470346032639,0.662344318053469,0.8215412869014438,0.9529532606470967,0.9486943018409172,0.9322508412132791,0.961225326760261,0.9612578341677546,0.9614163277387293,0.9611391936480463,0.968541475111612,0.9501627552956828,0.956847381733893,0.9608953500972585,0.9354823614179325,0.942589960548983,0.9301011381443698,0.9353471624150659,0.9301927686440594,0.932091101926792,0.9410224604722071,0.9334399296916802,0.9593997127286392,0.9567283924712666,0.9458338116006453,0.9478510577427085,0.9580447225799238,0.9315715616523471,0.9553946142617162
GSM2674187,0.9432828334472584,0.9504850862233958,0.9429980171230719,0.95827523180921,0.9607459680375722,0.9613408336405088,0.9606703089353994,0.9581842480898957,0.9487559404165162,0.9667618753279256,0.9614720410474145,0.9595731621081023,0.9556945802324845,0.9527220351417439,0.9303974169617669,0.977830551088402,0.9701413415504392,0.9639191189458183,0.9647967416448199,1.0,0.8959712494547493,0.9212126012360342,0.9125928970790941,0.9074911409824163,0.744053980974867,0.7976485776055363,0.6547172731788997,0.8208539317435053,0.9314393479604206,0.9169156102087697,0.899140456402449,0.9307407369576304,0.9262756177254431,0.9298909290946321,0.9339642409728844,0.9476188422522935,0.9163517463708976,0.9311112138332696,0.9480519168666528,0.9044811850016063,0.9282434535353141,0.8999415692706384,0.8881471137228838,0.9135298649572295,0.9088766916653687,0.9168535325944445,0.9098107781944961,0.9414238301152191,0.9484435684599047,0.9319087375355769,0.9501518951003041,0.9416242337127418,0.9103569838541611,0.9508733399820227
