,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,SSP_4,SSP_3,SSP_7,SSP_8,GSM3304988,GSM3304990,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305064,GSM3305069,GSM3305076,GSM3305078,GSM3305083,GSM3305085,GSM3305086,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6
GSM2674178,0.9707428278059363,0.9681299177528488,0.9746493303615544,0.9611229816596848,0.9609285346051779,0.9661508437390889,0.9539084473782308,0.97958213509991,0.9715865872790723,0.9804941528288683,1.0,0.9815812633735104,0.982194771278974,0.9789510689818706,0.9702579527241549,0.9503382589897108,0.9798810590593229,0.9385408666715932,0.9799295193989244,0.962568385448949,0.9279679048183588,0.9495860300900982,0.937712924139733,0.9325100929246878,0.9248147102659111,0.8995635283503681,0.9401274678976361,0.9308460952209487,0.9575600344374176,0.9508664669420118,0.9173587076386953,0.909531252587309,0.9401477013223187,0.900564927379691,0.950957761598408,0.8599941418987459,0.9303797573969476,0.722639872228839,0.7671559154542549,0.6423023189393896,0.8144443138465369,0.9460663174777795,0.9443569447517105,0.937332537651859,0.9502625088163635,0.958685710182076,0.9601929201083576,0.9507958928198511,0.9561400209505627,0.9471245187164565,0.9558815989639876,0.9590577985359201,0.9363085933717311,0.934335491122416,0.9426054181944602,0.941598736235506,0.9261795223288958,0.9368044412083492,0.9300711938418109,0.8923658242215684,0.9521958342701985,0.9505139615960797,0.9550697163949736,0.9536015783993685,0.924348956084768,0.8105206135547877,0.8986644450699042
GSM2674179,0.9765028977462239,0.9733686604445231,0.9810390663719191,0.9592338406356737,0.961161602485754,0.9647053772243159,0.9475373298178356,0.9797638085284008,0.9733437672922408,0.9817886444810213,0.9815812633735104,1.0,0.9851402998487305,0.9779370927999419,0.9703584211005158,0.9488288042560487,0.9755004951505529,0.9397257781730737,0.9832413343741474,0.9621980339815919,0.9276708611421199,0.9464798881536606,0.9399535179652195,0.9289671575438401,0.926347312882174,0.9053616046767229,0.9423047924737202,0.9365244347445482,0.9607245888002416,0.9518781438560309,0.9260243309987586,0.9135585384097166,0.93958296493556,0.9099659043884167,0.9484602392713348,0.8569239102406618,0.9356408072775801,0.7327575851077581,0.7673127361761739,0.660238673026849,0.8226677152684305,0.9570183325752267,0.9543702598983345,0.9397618242963662,0.9611819788856228,0.9575844274115597,0.9613366865535006,0.959989103202567,0.9668429165015802,0.9559493039749732,0.9606920490540858,0.9615815005910668,0.934980739833118,0.9361876010708757,0.9370369171779809,0.9365715925826459,0.9207200104483889,0.9384451998113132,0.9332811061028364,0.8908208975276976,0.9591696656991303,0.954162552704,0.9561676668053252,0.9552686916157828,0.9253702932417082,0.8175953765060175,0.9017070321642028
GSM2674180,0.9734825177349806,0.9723332119781734,0.9792361730271708,0.9626255876786272,0.9651396640333377,0.9650728860798028,0.9502351815170588,0.9821644277287114,0.9744785570454298,0.9765142533997111,0.982194771278974,0.9851402998487305,1.0,0.981447713499836,0.9721305222747496,0.9463963541603978,0.9751744240651976,0.9337844716507054,0.9864292406559438,0.9591509824979558,0.9263042702316465,0.9460255582356768,0.9417823610046174,0.9297134393208044,0.9192748453195043,0.8957931652541037,0.9405166481198282,0.9293870491634159,0.957035644955081,0.9457840021549806,0.9201467806302428,0.9079491800534235,0.9340597763226882,0.9039683393865566,0.9463758822440681,0.8487526123013347,0.9341160052462021,0.7197163166733945,0.7572811367638529,0.6427675799538327,0.8109785876471994,0.9502524745312682,0.9467602867059115,0.9329926470267199,0.958738986808367,0.9580360285860319,0.9608865286903722,0.958934347519881,0.9619977991941635,0.9559073429520258,0.9575232581311998,0.9574724928958402,0.9306260627691875,0.9297176345575512,0.933371460652856,0.9396261965540985,0.9175678169540994,0.93304795474882,0.9218965745103707,0.8845177091065105,0.9526076826671083,0.951105376349039,0.9496788508595174,0.9521434191495972,0.9157211213559744,0.8105991279534819,0.887058830266556
GSM2674181,0.9665024602388782,0.9721293185371772,0.9717834447323122,0.9617917823003578,0.971119432758395,0.970714673129048,0.9542303831401089,0.9838353839946429,0.9711290132675998,0.9812777248094807,0.9789510689818706,0.9779370927999419,0.981447713499836,1.0,0.9612412025758554,0.950795226682594,0.9769749757371586,0.9287526390019958,0.9780333712096619,0.9559169501660604,0.9182010667225209,0.9437191085380692,0.938909507298267,0.9276396716580753,0.9128765189595857,0.8863594450721642,0.9340569015491285,0.9234330712418191,0.956072025655762,0.9356884196274509,0.9111801247388424,0.9083189584097909,0.932126146462292,0.8964242990323761,0.9444202034310456,0.8578371997403779,0.9328565262734531,0.706679928050739,0.7578859402520416,0.6243525466549953,0.804650469297045,0.9399069294889454,0.9335207176822619,0.9219314033690021,0.9505095970817539,0.9418649145494246,0.9514929129523909,0.9507405362937118,0.9533662832994676,0.9451702354622503,0.9455713309193313,0.9521008123411938,0.9139944371948663,0.915417649562237,0.9260787524189482,0.9301814667612699,0.9084981327090658,0.9198367219460534,0.9073252788227789,0.8728274405389311,0.9513734646244743,0.9487505919386896,0.9447639756461479,0.9475675926810336,0.912049184729959,0.7973848131230016,0.8880102611674874
GSM2674182,0.9721298634919102,0.9709765483688293,0.9748388114701422,0.923242592686307,0.933456768319413,0.9293236503921868,0.9206355817987005,0.9635079207254249,0.9536565446218233,0.9601194727662611,0.9702579527241549,0.9703584211005158,0.9721305222747496,0.9612412025758554,1.0,0.9166154640781043,0.9649342652829154,0.9230515994867955,0.9674344837695518,0.937617454994496,0.9115189813033829,0.9445777857262446,0.932361034983344,0.9223538328658204,0.9011853027558467,0.8976597908761428,0.9317601327242739,0.9119438020615206,0.9499621924166177,0.9456470095272641,0.913662172892914,0.8800260706977968,0.9200568091952165,0.900990407918351,0.9460537722063249,0.8303431056177248,0.9208050755070964,0.7074069967308148,0.740601031908737,0.6580902453377858,0.7921347966570588,0.9451656938720203,0.9418740791751579,0.9372289136393945,0.9455398364623289,0.956878562395796,0.9578781186385323,0.9527280893111493,0.9452162474366758,0.9505735885637867,0.9614446883352479,0.9448193165924517,0.9314899029226517,0.9219005372346853,0.9357051408515418,0.9339591966216955,0.8973140750716349,0.9101570634882408,0.9081524975103601,0.8620539797233471,0.9285298471129844,0.9461361016930205,0.9446127879508845,0.9585764680160959,0.9146584514278293,0.8172268422159086,0.8755420662732859
GSM2674183,0.9358786731138549,0.9461422201365096,0.9279289502532961,0.9585387438771754,0.9626660848239821,0.9665032751252908,0.9665727491109096,0.9572145851945469,0.9493174387203651,0.9640659905285739,0.9503382589897108,0.9488288042560487,0.9463963541603978,0.950795226682594,0.9166154640781043,1.0,0.9630347632998234,0.964589705033543,0.9552945028985116,0.9794602354663177,0.8806782185015197,0.9187985145354601,0.9088734155546618,0.9036377979844733,0.9176677286882365,0.8686790530916145,0.9162001890283032,0.9273641959188984,0.916376875142502,0.920003675327019,0.8932518733448439,0.9177401534809398,0.9220045903764175,0.8725183653009524,0.9228756002998322,0.8740254138880491,0.9285142307765583,0.7315474394567073,0.8060325497939984,0.6463946827218946,0.8243124402418083,0.9217913810039327,0.9025123015242937,0.8824459347204251,0.9201629754785355,0.9124614626692833,0.9128926427172075,0.9280333938009098,0.9368411654468594,0.9053936210578775,0.918324635245461,0.9389997608762174,0.8926965384938237,0.909449486629818,0.8873802438849788,0.8711375181754221,0.9044247417915129,0.9066634957078309,0.9166089793787958,0.8685175160284799,0.9473173400827266,0.9368989639329062,0.9409380324479422,0.9226769646548286,0.9116792510387072,0.8014636996576129,0.9132924728121143
GSM2674184,0.9668172601573164,0.9727609419919349,0.9686496678599948,0.957863514496069,0.9657200888423368,0.9638752793249061,0.9597883198368157,0.9743074067469024,0.9639146912010227,0.977743034951944,0.9798810590593229,0.9755004951505529,0.9751744240651976,0.9769749757371586,0.9649342652829154,0.9630347632998234,1.0,0.9428382783839262,0.9756635061576141,0.9713011828695124,0.9195231642787381,0.9490176296255511,0.9325690669340448,0.9296173057479845,0.924622737110718,0.8996009065368978,0.9344190420394327,0.9302615117083516,0.9470972537531882,0.9469388410897576,0.9184004995550772,0.9147191910242698,0.9429915938506241,0.898663342680363,0.9488198481402245,0.8599609427489514,0.936329853512004,0.7233238711010034,0.7728306751298988,0.6459220926341357,0.818757085852881,0.9445388083383857,0.9355505342230497,0.9286399570471404,0.9519021431856082,0.9443884170050011,0.9568150655684025,0.9512511639620943,0.9565835294957455,0.9409000751058315,0.9560891826031114,0.9603323586325128,0.9200582549919368,0.9242050892408934,0.9247077035680504,0.9195160788949768,0.911103201485134,0.9244591567385853,0.921606764357961,0.8800711244770155,0.9528066352130962,0.9603819066832214,0.9573279518605229,0.9580017453419148,0.9304629163436418,0.8127752011310834,0.9103933299115604
GSM2674185,0.939881095656527,0.9412800875790238,0.9258376304821613,0.9340073851589652,0.9326028670144889,0.9419933526057767,0.9397092921181819,0.9389881714961825,0.9456913574595578,0.9486316638706055,0.9385408666715932,0.9397257781730737,0.9337844716507054,0.9287526390019958,0.9230515994867955,0.964589705033543,0.9428382783839262,1.0,0.9463299663880601,0.9661581729108671,0.8691652404274172,0.9198835492056662,0.9106969934999576,0.9055130191640351,0.9016684687063461,0.8674014647997546,0.9176143501470039,0.9186471867474246,0.9229934077977472,0.9195503460603446,0.889568282849144,0.897634352163309,0.9047528532205124,0.8717531576682293,0.9215444419697539,0.8765552983101611,0.9151686142382929,0.7214913853088176,0.8050366679172296,0.6753960130140508,0.8091250264035388,0.9150469419082174,0.9022225012602759,0.8819007467967072,0.9075406151935572,0.9202235891815006,0.9041494484237045,0.9153212261924021,0.9272176955245574,0.9037302238858741,0.9163750456411082,0.9219647519403047,0.906229369283386,0.9208706927214559,0.904457601915199,0.8780286651035933,0.9030840641198237,0.9008255124940965,0.9236206998931623,0.8656243310410519,0.9288160752883401,0.9234017743529093,0.9348171757549235,0.9134400453060737,0.9030147606364527,0.8023893698552574,0.9091002109629109
GSM2674186,0.9712752108331204,0.9693323324859512,0.9779649007245844,0.9688670192997416,0.9682123824502448,0.969510461575391,0.9561420410336107,0.9775371263110862,0.9735146256014687,0.9753254509532346,0.9799295193989244,0.9832413343741474,0.9864292406559438,0.9780333712096619,0.9674344837695518,0.9552945028985116,0.9756635061576141,0.9463299663880601,1.0,0.9670059495229575,0.9280591259945076,0.9471846210136907,0.9420030853845872,0.930794294222317,0.9281873563721924,0.9008958044096619,0.9441241547542715,0.9368400309006935,0.9551020045452714,0.9514757797525407,0.9197175757731763,0.9146705959047453,0.9379382591376375,0.9055402036051458,0.9465059864781443,0.8540525928797021,0.9331659947791286,0.732038163209265,0.7708833967964379,0.6519172174876469,0.8193573571490539,0.952612909553381,0.9505287979428795,0.9343352551752154,0.9597897259504675,0.9608053577474343,0.9618031909465268,0.9605863777242422,0.9682011286461942,0.9502982256372359,0.955287886590923,0.9585324214506469,0.934665948584037,0.9426416646449021,0.9313644146816694,0.9353044935107298,0.9271781712892463,0.9432278941001848,0.9374078016946348,0.8951173291025787,0.95824286238019,0.9489455008890028,0.9564561705620159,0.9503572036603464,0.9180501135873679,0.8162660174639089,0.8964084110717788
GSM2674187,0.9493677659116452,0.9564093306522837,0.9490333696932312,0.9589329717269798,0.9614355419988665,0.96317868697091,0.961742609385984,0.9603903659999565,0.950727414852419,0.9688639565523768,0.962568385448949,0.9621980339815919,0.9591509824979558,0.9559169501660604,0.937617454994496,0.9794602354663177,0.9713011828695124,0.9661581729108671,0.9670059495229575,1.0,0.8965729371037603,0.9257586920355465,0.9152978034317655,0.908389848701934,0.9226024700016419,0.8813324527867852,0.9261940836556822,0.9318512418723134,0.9302323966810807,0.9339830884885246,0.905123742898299,0.9167813798381688,0.9272918839079303,0.8849005434032085,0.930478375696988,0.8652386756041061,0.9263973912938819,0.7300267363674365,0.7876280178163103,0.6472566722446922,0.8177330441926102,0.9352273297406534,0.9220960361716024,0.9061355979290283,0.9333018544255747,0.928411442280877,0.9344136166928414,0.9376917662291177,0.9488715013487851,0.9217196855579772,0.9331580297118519,0.9479002383791645,0.9076229600693976,0.9275525333290229,0.9042486725147166,0.8914118611510418,0.9084666796790091,0.9203447221000416,0.930610944806642,0.8783760896443983,0.9531570598075838,0.943401765686353,0.9521614819113638,0.9335408030407251,0.9160196161176093,0.8011422003838798,0.9142326684772344
