,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
SSA.P.2,0.9489529938948698,0.8971989081896365,0.9212468089368316,0.9101870604841799,0.9407020376178189,0.9356117118212584,0.944648168948291,0.9230377376542461,0.9044560450359451,0.9517777088896429,1.0,0.9593876208786338,0.9638592907652559,0.9771125549795733,0.9378591424343856,0.9609451232060051,0.9503279645442828,0.9529375203585683,0.941266154350238,0.957327043687741,0.9399347366930938,0.944955066736474,0.9318777318515159,0.9763301270812973,0.9463788244244831,0.9353690523094852,0.9359702629413522,0.9560210121678556,0.8800437937824716,0.9264607196352512
SSA.P.3,0.9386927511883766,0.9058632597555025,0.9158880498594034,0.9191913682650897,0.9127436157688923,0.922864456784484,0.9224324685952008,0.9044811126894277,0.8871741242157852,0.9527853943129261,0.9593876208786338,1.0,0.960066519428311,0.9258684003592019,0.9564611051264177,0.9132544094677473,0.9281239753471637,0.9262942999141094,0.9265477650721269,0.9200675810334431,0.9322575600996346,0.9460598989656515,0.9300427491648504,0.9514470300547764,0.9609076586874468,0.965395420012961,0.8673849091308206,0.9170805691326812,0.7675537451797628,0.9312928163940297
SSA.P.4,0.9418453383166718,0.9021895212703706,0.9183703247732923,0.9090540412148282,0.9345272069891728,0.9389230910270345,0.9358679365904095,0.9190247427480176,0.9000412963568477,0.9457615308809186,0.9638592907652559,0.960066519428311,1.0,0.9590617690645532,0.9366446597864939,0.937207027697586,0.929701693836847,0.9376940862703615,0.9304931650863278,0.9379788684882217,0.9340979626302959,0.9443459672059124,0.9343674142680302,0.9647113886279337,0.9474264388509441,0.9470827573491153,0.8972025380442693,0.9486783217300178,0.8182881120677227,0.9294706030731669
SSA.P.5,0.9409171392703353,0.8894244180474483,0.9234044112389677,0.9001892065911862,0.9433708855157685,0.9308784592465069,0.9483759522409826,0.9270214479906819,0.9019737954606059,0.9406372014130143,0.9771125549795733,0.9258684003592019,0.9590617690645532,1.0,0.9253465738375601,0.9665970560612521,0.9481646993491607,0.9440275571631283,0.9301830867731424,0.9593055024006713,0.9250927089723444,0.9405779078240429,0.9311616225358323,0.9716594228284297,0.9242423577982272,0.9034297100053326,0.9530747945029227,0.9612039418306683,0.9129122684125913,0.910321868572972
SSA.P.6,0.9297963421078225,0.8903675463363013,0.9248881214211631,0.9073146959112507,0.9084676976161009,0.9185815361114417,0.9187200856205324,0.9080970637496117,0.8880273456276332,0.9414842640012611,0.9378591424343856,0.9564611051264177,0.9366446597864939,0.9253465738375601,1.0,0.9290065215816986,0.948887937697835,0.9320517127115532,0.9369979374389898,0.9217007155412391,0.928828323137309,0.9521924001705716,0.925567206356788,0.9387669038307553,0.9335189945210715,0.9321880998512795,0.8892092569368901,0.9126532996124301,0.7981579739102033,0.9202301970847283
SSA.P.7,0.940336964531752,0.8913751460772027,0.9228481456149354,0.9038055289476088,0.9420967847074109,0.9254080886426194,0.9332313180326733,0.9277916495705969,0.921124245626406,0.9312347149739575,0.9609451232060051,0.9132544094677473,0.937207027697586,0.9665970560612521,0.9290065215816986,1.0,0.9645722576436337,0.9592605651083939,0.947889019435921,0.9654518965861348,0.9415142840491533,0.9387524482354269,0.9060303140297411,0.9665456388968134,0.9117461602878719,0.8892496908504123,0.952086690268852,0.9580113242079237,0.9255394012091323,0.9229127880090552
SSA.P.8,0.9346613019850246,0.8862727085856752,0.9237123627370811,0.9056550318751979,0.9269245551551033,0.9152859955556303,0.9270166376699336,0.9162282513270732,0.9137084175185735,0.9474125683364902,0.9503279645442828,0.9281239753471637,0.929701693836847,0.9481646993491607,0.948887937697835,0.9645722576436337,1.0,0.9597130462379698,0.9531911985016938,0.9588761160311631,0.9529169863170616,0.9352842337114872,0.9081311620747972,0.9567635728979452,0.9355713459938094,0.911552950199059,0.9265757016505519,0.9380886325336504,0.8759136945421656,0.9295252541311904
SSA.P.9,0.9315383741727498,0.8685622443234677,0.9074730198535631,0.8971355246085659,0.9342027519543916,0.922355910856049,0.921300153367667,0.9175231845861134,0.9241752337115153,0.941634178920282,0.9529375203585683,0.9262942999141094,0.9376940862703615,0.9440275571631283,0.9320517127115532,0.9592605651083939,0.9597130462379698,1.0,0.9880932662449303,0.9704525796547531,0.9647680071760308,0.9237434599608967,0.903108397882344,0.9591398589151174,0.939708283328106,0.9158787624614882,0.9204070478054351,0.9505131587665375,0.8777271617133559,0.9487992134769864
SSA.P.10,0.9226816543348126,0.8616947748699277,0.9038321757675736,0.8942604072549233,0.926635391285832,0.9131102371141393,0.9177919694978944,0.915320813834572,0.9194139213753668,0.9382495584606997,0.941266154350238,0.9265477650721269,0.9304931650863278,0.9301830867731424,0.9369979374389898,0.947889019435921,0.9531911985016938,0.9880932662449303,1.0,0.9606629246266201,0.9560133194046978,0.9309829630032251,0.9040582386674698,0.9490915067509426,0.9344760923403783,0.9096181383228921,0.911398265723365,0.9461848822806074,0.8594042313180718,0.9474111662712509
SSA.P.11,0.9298713844047857,0.8728455880732913,0.9098369352914305,0.8998983852617367,0.9395655658615726,0.9168110551020693,0.9286199861435016,0.9174892779867587,0.9194636538882522,0.946549085538794,0.957327043687741,0.9200675810334431,0.9379788684882217,0.9593055024006713,0.9217007155412391,0.9654518965861348,0.9588761160311631,0.9704525796547531,0.9606629246266201,1.0,0.9711957040256898,0.9208693851402334,0.9002794760304103,0.9657612438296211,0.9377447585589918,0.8995040956771239,0.9333330673334294,0.9604985941207568,0.9057664457203451,0.9373017121820572
