,spearman,pvalue,index1,index2
53,0.41057082452431287,0.005636052038060286,CA.2,CL.6
54,0.4952783650458068,0.000630489931854308,CA.2,CL.7
55,-0.34066243833685694,0.023647929533297078,CA.2,CL.8
56,-0.2889358703312191,0.0571448371720607,CA.2,CL.9
57,-0.21945031712473573,0.15235096288159305,CA.2,HP.1
58,-0.5014799154334039,0.0005248436592043608,CA.2,HP.2
59,0.2621564482029598,0.08559653524853326,CA.2,HP.3
60,-0.028188865398167725,0.8558677562798,CA.2,HP.4
61,0.07188160676532769,0.6428750757322952,CA.2,HP.5
62,-0.16236786469344608,0.292328052572019,CA.2,HP.6
63,-0.5330514446793516,0.00019505714104068429,CA.2,N1
64,0.16758280479210713,0.2768914701679736,CA.2,N10
65,-0.007329105003523607,0.9623404344952244,CA.2,N11
66,-0.16222692036645525,0.29275283846012734,CA.2,N12
67,0.1120507399577167,0.4689745538714323,CA.2,N13
68,0.4879492600422833,0.0007796329764366156,CA.2,N14
69,-0.17477096546863988,0.2565074311222038,CA.2,N15
70,-0.37801268498942914,0.01140900166441441,CA.2,N16
71,-0.24453840732910498,0.10964700240372457,CA.2,N17
72,0.1503875968992248,0.32985959584305447,CA.2,N18
73,0.024383368569415077,0.8751597600830489,CA.2,N19
74,0.19492600422832979,0.20480734238338882,CA.2,N2
75,-0.3319238900634249,0.02772379163423737,CA.2,N20
76,0.27441860465116275,0.07144059999063039,CA.2,N3
77,-0.38322762508809016,0.010236860519128251,CA.2,N4
78,-0.04115574348132487,0.7908172261739811,CA.2,N5
79,-0.133615221987315,0.3872175146475959,CA.2,N6
80,0.48104298801973217,0.0009482588239541976,CA.2,N7
81,-0.43749119097956307,0.002980843445039985,CA.2,N8
82,-0.31092318534179003,0.03994828506036376,CA.2,N9
83,-0.06779422128259337,0.6619273988496763,CA.2,SSP_3
84,-0.3688513037350246,0.013746828251573485,CA.2,SSP_4
85,-0.20831571529245949,0.17479040628872233,CA.2,SSP_7
86,0.05919661733615221,0.7026862971320631,CA.2,SSP_8
87,1.0,0.0,CA.3,CA.3
88,0.47441860465116276,0.001139834927660247,CA.3,CA.4
89,0.3133192389006342,0.03836263210554998,CA.3,CL.1
90,-0.19661733615221985,0.2008284483779742,CA.3,CL.10
91,0.007470049330514446,0.9616167456935361,CA.3,CL.2
92,-0.09062720225510923,0.5585122826510344,CA.3,CL.3
93,-0.25651867512332627,0.09279732153582602,CA.3,CL.4
94,0.35179704016913316,0.019191706586416748,CA.3,CL.5
95,0.12431289640591965,0.42140541837769996,CA.3,CL.6
96,-0.4835799859055673,0.0008828669348138765,CA.3,CL.7
97,0.6274841437632134,5.1513232253448745e-06,CA.3,CL.8
98,-0.014517265680056375,0.9254830952384194,CA.3,CL.9
99,-0.2511627906976744,0.10006381990848284,CA.3,HP.1
100,0.21338971106412968,0.1642869391371785,CA.3,HP.2
101,-0.3812544045102184,0.010667615777031781,CA.3,HP.3
102,-0.16095842142353772,0.2965938762744397,CA.3,HP.4
103,-0.06441155743481325,0.6778566301264041,CA.3,HP.5
104,0.16575052854122618,0.2822529157580429,CA.3,HP.6
105,0.4644115574348132,0.0014947941836858684,CA.3,N1
106,0.14432699083861872,0.3499415932901768,CA.3,N10
107,0.501198026779422,0.0005292771121022167,CA.3,N11
108,0.45468639887244533,0.0019304790127252648,CA.3,N12
109,-0.035236081747709654,0.8203681747516999,CA.3,N13
110,-0.22424242424242424,0.14337332060819383,CA.3,N14
111,0.20859760394644114,0.17419450671014675,CA.3,N15
112,0.3512332628611698,0.019398960932318163,CA.3,N16
113,0.41789992952783644,0.004762578178819975,CA.3,N17
114,0.195630725863284,0.20314280948832095,CA.3,N18
115,0.3324876673713883,0.02744430064442224,CA.3,N19
116,-0.014094432699083862,0.9276476609680679,CA.3,N2
117,0.17138830162085977,0.26597119406162884,CA.3,N20
118,-0.1453136011275546,0.34662249984497084,CA.3,N3
119,0.6711768851303735,6.155167871239272e-07,CA.3,N4
120,0.2467935165609584,0.10630921140571964,CA.3,N5
121,0.26145172656800564,0.08647206212776602,CA.3,N6
122,-0.12318534178999295,0.4256621248815574,CA.3,N7
123,0.42156448202959834,0.004371932598366474,CA.3,N8
124,0.3880197322057787,0.009252369489824379,CA.3,N9
125,0.09471458773784354,0.540831494208956,CA.3,SSP_3
126,0.7291050035236081,1.9938499616690764e-08,CA.3,SSP_4
127,0.7090909090909091,7.156718574345292e-08,CA.3,SSP_7
128,0.3457364341085271,0.02152029831160457,CA.3,SSP_8
129,1.0,0.0,CA.4,CA.4
130,0.061451726568005634,0.6919097753054793,CA.4,CL.1
131,0.06723044397463002,0.6645722864467618,CA.4,CL.10
132,0.10725863284002818,0.4883131041234511,CA.4,CL.2
133,-0.06229739252995067,0.6878838949625037,CA.4,CL.3
134,-0.3051444679351656,0.04399374388766713,CA.4,CL.4
135,-0.03551797040169133,0.8189550519261642,CA.4,CL.5
136,-0.1271317829457364,0.41086959447603133,CA.4,CL.6
137,-0.20169133192389008,0.18921879550607318,CA.4,CL.7
138,0.25031712473572937,0.10125005703477821,CA.4,CL.8
139,0.046088794926004234,0.7664090688378367,CA.4,CL.9
140,-0.10458069062720224,0.4992976107058853,CA.4,HP.1
141,-0.12346723044397463,0.424595686993132,CA.4,HP.2
142,-0.1303735024665257,0.398941869997283,CA.4,HP.3
