,GSM2674167,GSM2674173,GSM2674157,GSM2674158,GSM2674159,GSM2674160,GSM2674161,GSM2674162,GSM2674163,GSM2674164,GSM2674165,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088,AP.7,AP.8,AP.9,AP.10
GSM2674165,0.9231484322427183,0.9161362977602628,0.910088056497024,0.9028220670234053,0.8402434768446609,0.8845650855247537,0.9193850963656273,0.9104403165671051,0.9144478523213361,0.9246494326866279,1.0,0.9303368970356659,0.8810038420333818,0.9047234773632149,0.8726607941395698,0.9130545157185638,0.8887741851680789,0.9091112077130359,0.8760471422426299,0.8737580647436687,0.8698042906259862,0.9244640974510616,0.8676631107781281,0.8843788415802689,0.8672904146172814,0.8894153278726908,0.8528347306658903,0.855136578942011,0.8752039800660609,0.8150884960656416,0.8341616385126308,0.9035126038175935,0.8767522873918584,0.8910471481805966,0.9014775030797609,0.8908424663632558,0.897030848956166,0.9035548006573105,0.8966575772394881,0.878397473423028,0.9166165844797577,0.8969280932326045,0.8626203016141171,0.8992530982548241,0.9132271832624919,0.8592571113816821,0.9048646300428114,0.893352055183533,0.8412888684191426,0.9064720819572045,0.8448678812440729,0.9167162780717322,0.8890797305351666,0.9070086241524252,0.9092476570462774
GSM2674214,0.9486764581501939,0.9472052961649647,0.9326233107707486,0.9271636850651176,0.9020608221824014,0.9122346592545231,0.955452130611069,0.9434771750342928,0.9291387962980565,0.9399178484252921,0.9303368970356659,1.0,0.9181300533955059,0.952796601963937,0.9020510615794044,0.926883277536812,0.902610028666665,0.9620466165351004,0.8820309397288657,0.9036332336673311,0.8851006759194802,0.9601309261343164,0.8981135433251363,0.897596782232859,0.9013651997534748,0.9051896146013733,0.8927364293157202,0.8923108146823259,0.9165993848080563,0.8549055496707331,0.88509896909754,0.9529388264117474,0.9419756643276834,0.9344875808742931,0.930277358434631,0.9303855895574433,0.9436220649403223,0.9393772471174744,0.9213130895357113,0.9311312826137444,0.9476952902028166,0.9356667310894533,0.9410516397294586,0.9408456929055214,0.9328453699768632,0.9191567014519828,0.9404065641255379,0.9357986992946574,0.9024492074047812,0.9504566625439766,0.9137992320065421,0.9268235688592573,0.9347587310944275,0.935390713365987,0.9548158699913786
GSM2674208,0.9201013210474001,0.9192034808272306,0.9060903745277031,0.9215424400767733,0.8995282179724885,0.929520255406897,0.9220612913278506,0.9168041159300826,0.9134197840043166,0.9188097835927539,0.8810038420333818,0.9181300533955059,1.0,0.935917333344219,0.9229410846080487,0.9318429710355844,0.9248838749843238,0.8906623930883127,0.9164391367300193,0.9110898909395635,0.9096619116078888,0.9049796375395743,0.910808220731311,0.9089270941455191,0.8888416139468308,0.9250612997281484,0.9260070382105876,0.9287719777437119,0.9413690430920602,0.8904049634961176,0.9334317119579709,0.9004909062005483,0.9065916985888257,0.9127593870495543,0.9038527535436666,0.8837432844869306,0.9298576207792053,0.9235906119477291,0.8793105116888186,0.9156599897835275,0.9166782686125045,0.9262799005602276,0.8982632715427421,0.9275735725077179,0.8864959357630768,0.8632581661351489,0.9305183664762131,0.9244810837952788,0.8477305561057048,0.9195763383414435,0.874482409837432,0.8956262750933498,0.9086277226294417,0.9145563314973566,0.922310639595653
GSM2674209,0.9310038626403186,0.9366755290550645,0.920443929317591,0.9248002939493233,0.9074080653488508,0.9276812945883265,0.9411978366777053,0.9364435810541467,0.9261076880883262,0.936403673135005,0.9047234773632149,0.952796601963937,0.935917333344219,1.0,0.9279863242043583,0.9355458124229228,0.9381854619962846,0.9353758426610231,0.9124758203216791,0.9220136131507486,0.9208181900113088,0.9384276479379156,0.913559009395931,0.9187771116658268,0.9038783539964154,0.9359836112482128,0.922648956519209,0.9292687840749088,0.9431405755616709,0.9012313085636051,0.9206048462309231,0.9365140747921419,0.9397309565212343,0.9377170535903967,0.9259403447445121,0.9124063819163758,0.94773519208652,0.93564494986666,0.9048202072930303,0.9347815544000894,0.9378715100756535,0.9380727915243732,0.925847637078234,0.9358155707118571,0.9161094115982948,0.9030133204309644,0.9474281300739252,0.9451170955572581,0.8841352295574048,0.9421231618448779,0.9107563795971373,0.9239162233725197,0.9318735715717815,0.9366270745185422,0.9446536839948958
GSM2674210,0.8817479901342626,0.8874605221462427,0.8745690625051,0.8938864695450467,0.8548662424473109,0.9036947637454141,0.8911457516493042,0.8769430717837361,0.896327342919738,0.8992121195815761,0.8726607941395698,0.9020510615794044,0.9229410846080487,0.9279863242043583,1.0,0.8942025921744171,0.9411319777226638,0.858801563201817,0.9221028934476261,0.9218561090226614,0.9336341722092396,0.8961130516115201,0.908125770526614,0.91169265600403,0.8858716907805256,0.9216019152754608,0.9049469708720701,0.9249703372201413,0.9211072274739726,0.8940437260769847,0.9249060331277058,0.8757096827770121,0.8704482539240559,0.8815467660928904,0.8742479189351664,0.8562655817782883,0.9009435953940005,0.9018055422376146,0.8466898875954089,0.8981571847244847,0.8783999412329679,0.8851958903397801,0.8734324060681556,0.9029175612919529,0.8555848198618167,0.8442790416097284,0.891649755219585,0.8882850204175696,0.8416905357998163,0.8969833407413567,0.8425240589775826,0.8746720680983383,0.8792193824318861,0.8844917494385783,0.8887775844926238
GSM2674211,0.9451609402028195,0.9406715452697783,0.9471748608008179,0.9512516095859941,0.937951008615086,0.9335136776599662,0.9589672449281715,0.946837886762493,0.958477482449946,0.9557048571900935,0.9130545157185638,0.926883277536812,0.9318429710355844,0.9355458124229228,0.8942025921744171,1.0,0.909731819626804,0.9020117495692768,0.9065330715553195,0.8981807368035549,0.91599090340495,0.9095696988392736,0.9158560425612293,0.924876673331258,0.898756417327149,0.922586450763147,0.9225218969550437,0.9244458278118414,0.9505846474455474,0.8977015538287383,0.9104590823893266,0.91920805395947,0.9198563540839267,0.9279950389349377,0.9085768763925994,0.8972302295674466,0.9457434705450896,0.9481173220105723,0.8867886516208376,0.9008868113275121,0.9319246514262682,0.943706380175747,0.9114445298952617,0.9343903226989989,0.8965251065389742,0.854801341816012,0.9434211922771886,0.9298660906774191,0.8492440452352623,0.9442027807289478,0.8841936905560801,0.909895450924746,0.9318936123871595,0.9337587117670332,0.9315159989285605
GSM2674212,0.8923926694594678,0.9066518489759657,0.8925842459523294,0.8881662929650668,0.8565300237595814,0.9131354587300192,0.8980075465180953,0.8839150240630194,0.8979057217021579,0.909823082495364,0.8887741851680789,0.902610028666665,0.9248838749843238,0.9381854619962846,0.9411319777226638,0.909731819626804,1.0,0.866031792389103,0.9277569523127454,0.9206486994839271,0.9330093026582856,0.885001711403337,0.8960360268275731,0.926612309269176,0.8714733537227815,0.9312101985323454,0.9119683687665209,0.9400528938588858,0.9299734903657566,0.9106298935963352,0.9249469517949894,0.8773190124080361,0.876044118056748,0.8824091223081707,0.8932353832470127,0.8677581885366586,0.9117170759602087,0.8976186629280741,0.869672449081973,0.8918378536917878,0.8966191288483988,0.9011871796045867,0.8620531267601542,0.9148483745543551,0.879939992184353,0.8442235693994493,0.9078437859553636,0.9011715240580775,0.8298318216322806,0.8997314473931364,0.8432032373405999,0.8826760620080748,0.8860174989375436,0.8992814455052842,0.9027238777968895
GSM2674213,0.938570037366712,0.9396098868421602,0.9140819943298235,0.9059071905808629,0.8814621163519256,0.8888081280003142,0.9345822468422521,0.9334050985496826,0.8946375865118575,0.9095464028357967,0.9091112077130359,0.9620466165351004,0.8906623930883127,0.9353758426610231,0.858801563201817,0.9020117495692768,0.866031792389103,1.0,0.8376902518782117,0.8795425899759605,0.8457866688467995,0.9585710700697895,0.868208741436279,0.8616710306225213,0.8802517476751238,0.877252775678864,0.8530329873734962,0.8623038646389131,0.8751689136377039,0.8272964089007783,0.8448611455405937,0.9522509732236263,0.9462963957919528,0.9252127271410797,0.926278321688441,0.9285094907327364,0.9228620389013128,0.9167120295495453,0.9204343056554315,0.9225725358447651,0.9449203506842344,0.9286997604312238,0.931381496747013,0.9213583807076116,0.9324081682969102,0.9218360381521837,0.9313352307492782,0.9345199862464054,0.8972267810822526,0.9330058201380749,0.9187814108332493,0.9177467787235986,0.9213496095596527,0.9259707123803448,0.9443471588623773
GSM2674215,0.8734478670450035,0.8816999024918322,0.8747018365685544,0.8900794886539939,0.8536486513029069,0.9023255405546803,0.8769678811979376,0.8651657107574181,0.8937204267152825,0.8934067139379507,0.8760471422426299,0.8820309397288657,0.9164391367300193,0.9124758203216791,0.9221028934476261,0.9065330715553195,0.9277569523127454,0.8376902518782117,1.0,0.9083800184649847,0.9286740323100464,0.8654901421066998,0.9009419093049422,0.9045584000698653,0.8755584398832706,0.9100791866774427,0.9108858921763464,0.9202692246297599,0.9266520583726628,0.895547432894131,0.9252811742275184,0.8562028672901385,0.857560977740064,0.8732094547618107,0.8636142083529245,0.83897255818267,0.8982771439797418,0.8895126076604628,0.8375612280942657,0.8783407172674423,0.8741408640883175,0.8862631171916993,0.8466558576574359,0.8836145581323726,0.844968490658727,0.8123684275238074,0.8970122272685781,0.8826039790242315,0.8050937039356252,0.8866650659081664,0.8175387496721621,0.875671178278389,0.8639093117940367,0.8867973612596849,0.8756555470152851
GSM2674216,0.8864140978636734,0.9068175496694867,0.8871280883443416,0.8877583525638029,0.8598806401531047,0.9256601885481888,0.892238237797459,0.8781329567313914,0.8904310861873787,0.8983470736936566,0.8737580647436687,0.9036332336673311,0.9110898909395635,0.9220136131507486,0.9218561090226614,0.8981807368035549,0.9206486994839271,0.8795425899759605,0.9083800184649847,1.0,0.9127373577189603,0.8982344015455501,0.9023962810935666,0.9053215503952902,0.9042506170003912,0.9183864324244662,0.9062782181114154,0.9111607785346173,0.91438199107734,0.903395486877253,0.8996752365337607,0.8682351877340382,0.8745390282482011,0.8773851208391938,0.8916707362239789,0.8758217047235178,0.9015308474711732,0.9110711021182073,0.8751205703527021,0.9073614359946582,0.8973425696973745,0.8959565664095351,0.8745441057852351,0.9054994309653919,0.887654866577527,0.8609471055904617,0.8908837883389601,0.9017663322963665,0.8507633581792421,0.894548307122168,0.8444900184491028,0.8696860203834305,0.8795944777844144,0.8775911548574082,0.8972591012261992
