,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,AP.7,AP.8,AP.9,AP.10,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM2674198,0.9601309261343164,0.9049796375395743,0.9384276479379156,0.8961130516115201,0.9095696988392736,0.885001711403337,0.9585710700697895,0.8654901421066998,0.8982344015455501,0.8756774424222145,1.0,0.8979178279689842,0.8882183737552789,0.9003446412602363,0.899865161026162,0.8720616890410142,0.8817518538355464,0.8909436504393251,0.8463696480918118,0.8668207954047813,0.9532636839803112,0.9376187643542142,0.9334260351938439,0.8916075495388825,0.9197648588140809,0.9019655019973313,0.9380367666332323,0.9237907687869292,0.9316084819641853,0.9257501699204196,0.9201295284392831,0.9227243204701298,0.9307864353064172,0.9226791053793169,0.9451424619172767,0.9245369725523853,0.9472532905122218,0.9095954776323749,0.929906533125778,0.9499278270596563,0.9169289937826527,0.9554919123696264,0.9393728894327688,0.9459107476506152,0.9418179542891414,0.9489911748100133,0.925119457453483,0.935220170985639,0.9156765325624954,0.951101200392665,0.9136231369870512,0.8787851171942281,0.9256332217601849,0.9554414832622057,0.8906883038244243,0.9135999426501894
GSM2674199,0.8981135433251363,0.910808220731311,0.913559009395931,0.908125770526614,0.9158560425612293,0.8960360268275731,0.868208741436279,0.9009419093049422,0.9023962810935666,0.9021671729431007,0.8979178279689842,1.0,0.8985208132491115,0.9074189333080517,0.920880121441348,0.903299554442432,0.9023294509271381,0.9245997967669388,0.8791076994653282,0.9125360641356992,0.8722190006304825,0.8728900938827266,0.9066110705062014,0.8493545047988373,0.8797324320215046,0.8599351759461517,0.9000348127146727,0.9113465210085687,0.8936667996332363,0.8807231999714416,0.8745408166145472,0.8593978687850566,0.8711019552101387,0.8756312571947709,0.8842526600768554,0.9038822379001575,0.924416895091901,0.9115190855286637,0.9242467270991526,0.9118437694343937,0.9048344384718798,0.9031059979200705,0.9085778395460158,0.9252292134840814,0.9159642958378634,0.9112536673993187,0.9173902670424644,0.8954379423405888,0.8915220811825422,0.9232904396166546,0.9153919332582213,0.909877033766227,0.8678949125832005,0.9031825271346737,0.802614551585979,0.9112676547264577
GSM2674200,0.897596782232859,0.9089270941455191,0.9187771116658268,0.91169265600403,0.924876673331258,0.926612309269176,0.8616710306225213,0.9045584000698653,0.9053215503952902,0.9258196963400496,0.8882183737552789,0.8985208132491115,1.0,0.886282752255687,0.9118354659832624,0.9026882118909525,0.9330264166057107,0.9253950803233769,0.9065194374708894,0.9173306087333092,0.8822238482134916,0.8743664052128494,0.8653719867283084,0.7971016325035396,0.8396869829900521,0.8119599884096124,0.8707601236509733,0.8654145689067262,0.9036160101118825,0.8491734080575958,0.8314042861348024,0.8798600483198419,0.8986654859219697,0.897685494714174,0.8998766133405287,0.8838920722366482,0.9111960431840257,0.8833672433948455,0.9066927456161321,0.9063286183217426,0.8768877819518115,0.9000851395118388,0.8924707201712415,0.9078645371865304,0.904265052394802,0.9028895111887818,0.8834634306370999,0.8985709830173562,0.8886483893636434,0.9091209927966749,0.8909541844288632,0.8717480885315706,0.9017736540952205,0.9118155413052685,0.831323358400322,0.8793296553378808
GSM2674201,0.9013651997534748,0.8888416139468308,0.9038783539964154,0.8858716907805256,0.898756417327149,0.8714733537227815,0.8802517476751238,0.8755584398832706,0.9042506170003912,0.87742394043133,0.9003446412602363,0.9074189333080517,0.886282752255687,1.0,0.8749744216406823,0.876402493662619,0.8845744498164423,0.8903260399878469,0.8577644302181833,0.8673172210271203,0.8720986403878265,0.8689057812802525,0.9029515212873417,0.8429709871772817,0.8681359235443005,0.8716877446647816,0.8993150674310945,0.8903815161435422,0.892294815252481,0.87598492023538,0.8664366501260057,0.8642119108724247,0.87703236404035,0.8764163735872031,0.8931550757848156,0.9267791710656945,0.927407405052346,0.9108322372964395,0.919503685378819,0.9196280319219512,0.900809085945049,0.9151595236408935,0.9142525568608738,0.922158534791846,0.9159262789396337,0.9219026141327938,0.9128463156821928,0.8973770032899727,0.8726221595101548,0.9309770796439792,0.9125926819329875,0.9019529388315113,0.8856639576684538,0.917596711996897,0.8276681388890264,0.9074769166881173
GSM2674202,0.9051896146013733,0.9250612997281484,0.9359836112482128,0.9216019152754608,0.922586450763147,0.9312101985323454,0.877252775678864,0.9100791866774427,0.9183864324244662,0.9149801875520556,0.899865161026162,0.920880121441348,0.9118354659832624,0.8749744216406823,1.0,0.9187977000914006,0.9214773473418756,0.9373690199073473,0.898766159979363,0.921254585199664,0.8815475419651314,0.8890281596869765,0.884393995062327,0.8187483171148388,0.8673920429403644,0.8370555787303939,0.8822971548249227,0.891149034047688,0.8989830858490431,0.8679083722560839,0.8547554275225068,0.8838774679504576,0.8874125218312445,0.8955747432568482,0.9010490758279479,0.8839031883608998,0.9234681189889414,0.8939641497104561,0.9067715165453756,0.9152332995273192,0.9111670195921698,0.9159605665902969,0.9103226120258314,0.9267874240233127,0.9200812629653177,0.9127744582968923,0.9073925448813136,0.9013404504308831,0.8910834603957628,0.917683385033158,0.8947427114654316,0.8873996975162607,0.9006676974088693,0.9060643854204025,0.8379387883070696,0.8944282997825377
GSM2674203,0.8927364293157202,0.9260070382105876,0.922648956519209,0.9049469708720701,0.9225218969550437,0.9119683687665209,0.8530329873734962,0.9108858921763464,0.9062782181114154,0.9145301943675039,0.8720616890410142,0.903299554442432,0.9026882118909525,0.876402493662619,0.9187977000914006,1.0,0.9256452429221081,0.9449952069016998,0.9009080003280906,0.9327377290013644,0.8707552148579838,0.8811738688994131,0.8694396439055744,0.8175072941637157,0.8626313320851267,0.827890412447134,0.8637374905485333,0.8763686778906925,0.9042088105872311,0.854763137557556,0.8254731911511632,0.8652395022019491,0.8936693185263667,0.8860012582290105,0.8958826783014546,0.8767165306263549,0.9105396551537368,0.8987652947204842,0.9087391432002792,0.8994857300639739,0.8988748677794912,0.8889368024704107,0.8895001266126819,0.8953960356438989,0.894578639760627,0.8867339114070638,0.8829489185336131,0.9061526291723224,0.9034175433366847,0.9075969484125584,0.8907887821183421,0.8885043980089907,0.8812465159374625,0.8945556304995387,0.7914090488611091,0.8779311707105918
GSM2674204,0.8923108146823259,0.9287719777437119,0.9292687840749088,0.9249703372201413,0.9244458278118414,0.9400528938588858,0.8623038646389131,0.9202692246297599,0.9111607785346173,0.9427266074472062,0.8817518538355464,0.9023294509271381,0.9330264166057107,0.8845744498164423,0.9214773473418756,0.9256452429221081,1.0,0.938327985897108,0.9444063723751648,0.9465179195180125,0.8848860343710159,0.8933906142456912,0.8786321205981118,0.8209571505343131,0.8566940208444447,0.8311097270417763,0.8747380168904996,0.8799978742789447,0.9109306160012642,0.861474379265246,0.829730610001112,0.8851273778004332,0.9048667358427143,0.9093341380918293,0.9077484922807454,0.8920269246735559,0.919314627316737,0.9033962783838224,0.9154279853265932,0.9116163119669719,0.8976838181564741,0.8962476563097784,0.8872827416867892,0.8981691164097234,0.895841725006404,0.8903906061392017,0.8770469373361779,0.9162802923051259,0.9050310484392657,0.9132928443587593,0.8932713723114919,0.8908230058662656,0.898412799090515,0.9100341518765611,0.8137980513168297,0.8825480000553807
GSM2674205,0.9165993848080563,0.9413690430920602,0.9431405755616709,0.9211072274739726,0.9505846474455474,0.9299734903657566,0.8751689136377039,0.9266520583726628,0.91438199107734,0.9298409402778359,0.8909436504393251,0.9245997967669388,0.9253950803233769,0.8903260399878469,0.9373690199073473,0.9449952069016998,0.938327985897108,1.0,0.9127056859238244,0.9457344572202409,0.8992664948045871,0.9049801549778904,0.9014307026778012,0.8467886517504029,0.8849064644791401,0.8547850433063501,0.8912528419080064,0.9026501201000355,0.9300962758529456,0.8774812548389451,0.8520618361612879,0.8951868147770572,0.9178962611848981,0.9164111978688978,0.9185239012612363,0.9021935561010901,0.937577832469329,0.9251420263057746,0.9390211924665423,0.9280231433995795,0.9147174302200931,0.9146963119528798,0.9123357951322312,0.9211996350346714,0.9153035679594457,0.9105937149510231,0.9041922464511082,0.9301536990706654,0.9305419369278297,0.933401340001288,0.9172176703113428,0.9164908341602179,0.9049127565998142,0.9216230304285487,0.8158344669580422,0.8945210014587809
GSM2674206,0.8549055496707331,0.8904049634961176,0.9012313085636051,0.8940437260769847,0.8977015538287383,0.9106298935963352,0.8272964089007783,0.895547432894131,0.903395486877253,0.9274886414818952,0.8463696480918118,0.8791076994653282,0.9065194374708894,0.8577644302181833,0.898766159979363,0.9009080003280906,0.9444063723751648,0.9127056859238244,1.0,0.920887059760359,0.8479109822115997,0.8656360285559717,0.8502146564300165,0.795921269339695,0.8335065138863279,0.8033764311062911,0.8398195898003521,0.8491991212051859,0.8850055772275872,0.8253425528295797,0.7935362401180159,0.8519322290566165,0.8739101014116404,0.8756956848106349,0.8731206148497693,0.8613063049307937,0.8894920564465201,0.88040494417165,0.8820450791374428,0.8805898061289299,0.879221721457025,0.8645879328547751,0.8634753469083083,0.8648456282616872,0.8618796333146822,0.8599284806869174,0.8503986153191038,0.8852536685099155,0.8798991723950056,0.8836512472232884,0.8705645370792965,0.871180914102014,0.8659661027825404,0.8695811701410153,0.7763088115475842,0.8540152017254203
GSM2674207,0.88509896909754,0.9334317119579709,0.9206048462309231,0.9249060331277058,0.9104590823893266,0.9249469517949894,0.8448611455405937,0.9252811742275184,0.8996752365337607,0.926938292159708,0.8668207954047813,0.9125360641356992,0.9173306087333092,0.8673172210271203,0.921254585199664,0.9327377290013644,0.9465179195180125,0.9457344572202409,0.920887059760359,1.0,0.8642777926260693,0.8793407397985902,0.8777343417942134,0.8328497514999589,0.8677049588845205,0.8346198061292892,0.8721514436791716,0.8933599221945443,0.8924133381794911,0.8651292748568388,0.8358869531556802,0.8628268595083511,0.8793289511746769,0.8869818211606328,0.8891999785384915,0.8776661410810243,0.9106131875721564,0.9033111724267148,0.914762071664999,0.8989114023977705,0.8995828758861422,0.8842928381192035,0.8808270102938728,0.889454027481719,0.8846243089077138,0.8777786842959926,0.8791322990614814,0.8990688774540775,0.9014750183298075,0.9037086296891519,0.8877316317816581,0.8955818067344358,0.8654485278775198,0.883535044400277,0.7807971827871885,0.884355637301965
