,Ca_2,Ca_1,TSA_2,FAP_2,GSM3304973,GSM3304975,GSM3304984,GSM3304993,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
SSA.P.3,0.7920834872425229,0.8773080219409569,0.9384608025944963,0.9132581622303734,0.9156012160006853,0.9193087691097813,0.9126833617483855,0.9225368607670422,0.9528037646237761,0.9594380313418954,1.0,0.9600346765271869,0.9258930088378151,0.9562086379250538,0.9131916162914472,0.927900524343921,0.9263105378124178,0.9263883377593645,0.9199946793020054,0.9321985072496708,0.946075110646906,0.9300093341707134,0.9514326342977405,0.9609676831751566,0.9653291472794001,0.8675867709377737,0.9170300929466285,0.7674532403443665,0.931163303955103
SSA.P.4,0.8186631688378595,0.8967831498943216,0.9417528061310363,0.926221974510674,0.9181681148947671,0.9093100054743014,0.9344871568015278,0.9359406933690276,0.9457758803831003,0.9640030823351934,0.9600346765271869,1.0,0.9591541440532089,0.936477581872869,0.9372386995119331,0.9295657914228272,0.9376940600537401,0.9303074225505156,0.9379924642397359,0.9341085344323015,0.9444003242924369,0.934228129731514,0.9646936486931955,0.947470344837262,0.9470984109725756,0.8973156788700379,0.9486318994975854,0.8182390872577833,0.9294527014173076
SSA.P.5,0.8341592778469138,0.8958214229312517,0.952525219629746,0.9477000184816079,0.9232964948184299,0.9004837846480711,0.9433595554752577,0.9485120719792727,0.940656828726899,0.9771329055130525,0.9258930088378151,0.9591541440532089,1.0,0.9252565719409078,0.9665943170808556,0.9480559891268877,0.9440524210704456,0.9301097374160656,0.9592912079054535,0.9251154698693989,0.9407172477558552,0.9310626726738465,0.9716590369829069,0.9243057938261064,0.903484623505538,0.9531431618403349,0.9611722383191136,0.9127760671350915,0.9102993187671226
SSA.P.6,0.7911545062654345,0.8645485716283171,0.9447900900507655,0.932875577078952,0.9251039130313073,0.9072397592246195,0.9086092130448749,0.9185620260096933,0.9415343294731688,0.9378368515665294,0.9562086379250538,0.936477581872869,0.9252565719409078,1.0,0.9290235276473845,0.9490398924179032,0.9320777709415464,0.9369607252486599,0.9216263666992814,0.9289065298639588,0.952066379217162,0.9250026303415224,0.9386414607719286,0.9335507245477029,0.9322612978502646,0.8893688423147988,0.9121637469156348,0.797904001441348,0.9197543860632901
SSA.P.7,0.8173208430552618,0.8720860376085896,0.9536352100549469,0.9488639313625521,0.9227067183338004,0.9039112135682251,0.9421137463845727,0.9334130648615253,0.9313243788521844,0.9609131303509567,0.9131916162914472,0.9372386995119331,0.9665943170808556,0.9290235276473845,1.0,0.9645307459843089,0.959280499298924,0.9478844491413094,0.9654411827159881,0.9415164114126993,0.9388494339325557,0.9058543336896991,0.9664497696394647,0.9119039499365872,0.8893480828122959,0.9522263057561304,0.9578933142381401,0.925434697331945,0.9227382926077081
SSA.P.8,0.8108711483134967,0.8723692879568786,0.9488900683538583,0.9326018547014167,0.9237728968563941,0.9054867518798176,0.9271501086559929,0.9270948998633941,0.9475043111169126,0.9501723230568953,0.927900524343921,0.9295657914228272,0.9480559891268877,0.9490398924179032,0.9645307459843089,1.0,0.9597423096087544,0.9531809712089007,0.9588768048881536,0.9529896326900369,0.9353676175272204,0.9077515506931283,0.956557102075227,0.935675469486562,0.9116438850718557,0.9268038624792606,0.937773198313504,0.8757367333549144,0.9290620533328486
SSA.P.9,0.8208599009352137,0.8944897219823145,0.9513987307371675,0.933020894636736,0.9074398904096994,0.8973150074924884,0.9343005563493104,0.9214723092013158,0.9417553504433164,0.9529434067536036,0.9263105378124178,0.9376940600537401,0.9440524210704456,0.9320777709415464,0.959280499298924,0.9597423096087544,1.0,0.9880493224624425,0.9704040564413272,0.9647200277054628,0.9238498317842019,0.9029588116455666,0.9590980924044563,0.9398171992794049,0.915988557356776,0.9205698431414102,0.950383725746086,0.8775955941817427,0.9485427718975039
SSA.P.10,0.8180341466242355,0.8890605415884129,0.9461439118922322,0.9330334540731483,0.9038371250082559,0.8943570903543479,0.9267299116225897,0.9179694221665059,0.9382497139142126,0.9411500947562577,0.9263883377593645,0.9303074225505156,0.9301097374160656,0.9369607252486599,0.9478844491413094,0.9531809712089007,0.9880493224624425,1.0,0.9605500563807365,0.9559352589278124,0.9310312147772405,0.90387370443662,0.9489550500780713,0.9345090216943088,0.9095793616861932,0.9116066485997393,0.9459972304835959,0.8593088137245383,0.9470146282363627
SSA.P.11,0.8213246842969747,0.8847128161392197,0.9532703843934949,0.9344339342881374,0.9095903933821189,0.9000204827337115,0.9395269085050787,0.9286331717881136,0.9465523458505019,0.9573663283635643,0.9199946793020054,0.9379924642397359,0.9592912079054535,0.9216263666992814,0.9654411827159881,0.9588768048881536,0.9704040564413272,0.9605500563807365,1.0,0.9711410879938968,0.9208802552852886,0.899998291428636,0.9656468618893194,0.9377362384897545,0.8996030508643422,0.9333827492158671,0.9602916741592807,0.9057074279858701,0.93712124188835
SSA.P.12,0.7952048094013572,0.8695074334558288,0.9408657978496615,0.9071401961143643,0.8971601628351862,0.9068698998994851,0.9192070253576315,0.9001574210298554,0.9466252417568397,0.9400082792308933,0.9321985072496708,0.9341085344323015,0.9251154698693989,0.9289065298639588,0.9415164114126993,0.9529896326900369,0.9647200277054628,0.9559352589278124,0.9711410879938968,1.0,0.9019398921174063,0.8758454608945785,0.9499352694509484,0.9507987996400024,0.9311409532927922,0.884803168028313,0.9300686892773201,0.8411831640666996,0.9504931274790015
SSA.P.13,0.8215766879666175,0.883730339904743,0.9407242465870724,0.9495860498472977,0.9308678937779655,0.900598049650565,0.9222855059181047,0.9500986312039295,0.9245677972683004,0.9451376455786885,0.946075110646906,0.9444003242924369,0.9407172477558552,0.952066379217162,0.9388494339325557,0.9353676175272204,0.9238498317842019,0.9310312147772405,0.9208802552852886,0.9019398921174063,1.0,0.9544261285059309,0.9524147878394682,0.9221473890365054,0.9078120937910703,0.922416011836542,0.9450098311581975,0.8326578107697473,0.9027046881206128
SSA.P.14,0.8075626964278838,0.8804296843150009,0.9213456827971805,0.9243079964443953,0.925200329600695,0.8890910551369523,0.9046729301626806,0.9463508781285684,0.9005979079640026,0.9318768086692363,0.9300093341707134,0.934228129731514,0.9310626726738465,0.9250026303415224,0.9058543336896991,0.9077515506931283,0.9029588116455666,0.90387370443662,0.899998291428636,0.8758454608945785,0.9544261285059309,1.0,0.9290176986705926,0.9123467180840124,0.895906938585315,0.8943953124431004,0.921196359209472,0.8019194950990329,0.8858177392680231
SSA.P.15,0.8321477347061405,0.8998660592880255,0.9587703329445892,0.9473336088364906,0.9263893463769007,0.9153804198573977,0.9481882593250222,0.9469485572797811,0.9568694210848936,0.9762954506636812,0.9514326342977405,0.9646936486931955,0.9716590369829069,0.9386414607719286,0.9664497696394647,0.956557102075227,0.9590980924044563,0.9489550500780713,0.9656468618893194,0.9499352694509484,0.9524147878394682,0.9290176986705926,1.0,0.950767155870937,0.93427598512958,0.9330350680265284,0.9653061197781744,0.8761802820654245,0.9387221011657407
SSA.P.16,0.8014096166549725,0.8874415627253333,0.9364153463813824,0.8998572152071408,0.9000715526357965,0.9091258155566407,0.9111419581156565,0.917451664872157,0.9600012721271224,0.9465163384104495,0.9609676831751566,0.947470344837262,0.9243057938261064,0.9335507245477029,0.9119039499365872,0.935675469486562,0.9398171992794049,0.9345090216943088,0.9377362384897545,0.9507987996400024,0.9221473890365054,0.9123467180840124,0.950767155870937,1.0,0.9558326510442668,0.8710549217544821,0.9299448459914869,0.7902246285160603,0.9371016695303818
SSA.P.17,0.7848023757670265,0.8731775565741707,0.9168338454794813,0.8809791660947928,0.8830302969289416,0.895483376564866,0.8901126330899403,0.8900333237744985,0.9406262711528115,0.9354878916219443,0.9653291472794001,0.9470984109725756,0.903484623505538,0.9322612978502646,0.8893480828122959,0.9116438850718557,0.915988557356776,0.9095793616861932,0.8996030508643422,0.9311409532927922,0.9078120937910703,0.895906938585315,0.93427598512958,0.9558326510442668,1.0,0.8358787489139684,0.8902757026922234,0.7381650564608422,0.9238114123842555
SSA.P.18,0.8501422586393602,0.8924521046105368,0.9297612189766162,0.9534135890627662,0.8610819532839157,0.8282459170758296,0.8880713869272328,0.941594728437868,0.8903899210905739,0.9361673079122633,0.8675867709377737,0.8973156788700379,0.9531431618403349,0.8893688423147988,0.9522263057561304,0.9268038624792606,0.9205698431414102,0.9116066485997393,0.9333827492158671,0.884803168028313,0.922416011836542,0.8943953124431004,0.9330350680265284,0.8710549217544821,0.8358787489139684,1.0,0.9405575257097303,0.9371089267545101,0.8620472397924125
SSA.P.19,0.8255040137076809,0.8907713553969702,0.9471037187004596,0.9465393732551821,0.9091092593875226,0.8944038357754,0.9371233414884984,0.9472136750232412,0.9379400352375619,0.956015380836701,0.9170300929466285,0.9486318994975854,0.9611722383191136,0.9121637469156348,0.9578933142381401,0.937773198313504,0.950383725746086,0.9459972304835959,0.9602916741592807,0.9300686892773201,0.9450098311581975,0.921196359209472,0.9653061197781744,0.9299448459914869,0.8902757026922234,0.9405575257097303,1.0,0.893350278801061,0.9094226858147183
SSA.P.20,0.7826520980631105,0.8028115231413355,0.8695676908745323,0.8841459188283275,0.816640651350102,0.7852123525486887,0.8652035672128042,0.8621769670982846,0.8250256153344262,0.880004987881978,0.7674532403443665,0.8182390872577833,0.9127760671350915,0.797904001441348,0.925434697331945,0.8757367333549144,0.8775955941817427,0.8593088137245383,0.9057074279858701,0.8411831640666996,0.8326578107697473,0.8019194950990329,0.8761802820654245,0.7902246285160603,0.7381650564608422,0.9371089267545101,0.893350278801061,1.0,0.8143077801136285
SSA.P.21,0.7985228409533515,0.859213750087967,0.9320243728670368,0.8970585254986758,0.8963621518284955,0.913727817500605,0.9198863084011387,0.8882242865855734,0.9352669555650237,0.9263855850562633,0.931163303955103,0.9294527014173076,0.9102993187671226,0.9197543860632901,0.9227382926077081,0.9290620533328486,0.9485427718975039,0.9470146282363627,0.93712124188835,0.9504931274790015,0.9027046881206128,0.8858177392680231,0.9387221011657407,0.9371016695303818,0.9238114123842555,0.8620472397924125,0.9094226858147183,0.8143077801136285,1.0
