,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,Ca_2,Ca_1,TSA_2,FAP_2,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10
GSM2674203,0.8866817508275384,0.9228764268742616,0.9204486933936318,0.897640339090663,0.9212062922022733,0.9029096608393852,0.8484840950009503,0.9042759153363182,0.8995416706768163,0.906829138797979,0.867203700558572,0.9002204165024461,0.896370995733408,0.8759536220490091,0.9126312435050747,1.0,0.9223211598842109,0.9430553983283487,0.8950754361066999,0.9286844325032446,0.8481447812831584,0.9077226390924314,0.8906902025581965,0.9029785597545351,0.867330673449332,0.8819168873636558,0.8586194048097439,0.8944793072956122,0.8849307442415371,0.8954081946458932
GSM2674204,0.8883662745200188,0.924648701714902,0.9278752097650663,0.9208708052863134,0.9230841892902527,0.934708635683001,0.8588282857054922,0.9146811232302269,0.9027200071419581,0.936863652604721,0.8783999559194517,0.897795092527879,0.9286685255435728,0.8838120507019723,0.9165592330514416,0.9223211598842109,1.0,0.9372862526623935,0.9400411439898879,0.941936110845233,0.8732822896053191,0.913848228534618,0.8999064519702923,0.9106273027620255,0.8827009324854094,0.8917030003236417,0.8787846163102088,0.9075774466356576,0.9073776152097559,0.9070666156853755
GSM2674205,0.9111091682935796,0.9387312237074873,0.941306019998897,0.9152431408492961,0.9508349478808189,0.9242790600685853,0.8711909694658111,0.9219426727107903,0.9082120921995647,0.9242647369547015,0.885200632089483,0.9211381960048749,0.9203071658323924,0.889686981382944,0.9318185654459833,0.9430553983283487,0.9372862526623935,1.0,0.9090365922562916,0.9427832750945633,0.8560202115716476,0.9252759615919127,0.9159490273762194,0.9217529186073843,0.8964446535297381,0.907033362576856,0.8908958426113344,0.9190565177713496,0.9178411108561049,0.9180450550895849
GSM2674206,0.8468768196400553,0.8835123252991589,0.8969393841571184,0.8856727553422056,0.8943133975802302,0.9006308095751268,0.8205022030561193,0.8882357186752514,0.8931691138619041,0.9198315192265277,0.8398268455510628,0.8718615658587133,0.8983010917606815,0.8546820160677557,0.8912170499848787,0.8950754361066999,0.9400411439898879,0.9090365922562916,1.0,0.9139608759206127,0.8530720387181371,0.8835093896887366,0.8685437575431523,0.8773005820937261,0.8427523007843275,0.8627379276825784,0.8441591214998955,0.8732946810747017,0.8720609768318175,0.8685354160723945
GSM2674207,0.8768630268459918,0.9286679090108853,0.9163269259234538,0.9190595707447877,0.907036998080561,0.9171009628429296,0.8364270587961389,0.9193422549824667,0.8895775955955031,0.9186856763000885,0.8594451761969929,0.9078017482697136,0.9116921892984798,0.8637921889484659,0.9142741333537092,0.9286844325032446,0.941936110845233,0.9427832750945633,0.9139608759206127,1.0,0.8450083976429997,0.9008910088755753,0.8870771990908898,0.8913786016092247,0.8588977364780529,0.8760074015597431,0.854441157347523,0.8777984377302023,0.8833766129304168,0.8839954938832076
Ca_2,0.8254679726774993,0.8448670827653006,0.8530670845301003,0.863864245743191,0.851657185927336,0.8899009751373302,0.785255309727944,0.8732153538854713,0.8574516773168446,0.8775612723696935,0.799236108724805,0.8223339778592417,0.8693640426525188,0.8151589762674176,0.8395890801842135,0.8481447812831584,0.8732822896053191,0.8560202115716476,0.8530720387181371,0.8450083976429997,1.0,0.8805731154130716,0.8021133082062886,0.8247283492888771,0.7850999178370255,0.7791295643815112,0.8126069279819831,0.8191963182172312,0.8338389595352484,0.8243207782735524
Ca_1,0.8790933669924489,0.9111088736961206,0.9046986388860562,0.9019525559855902,0.9308661303260671,0.9161763146469938,0.8400535235170108,0.9194423271601131,0.8929584221688419,0.915908040588832,0.8658550625236575,0.9045184343829382,0.9207035037631736,0.8806804088479152,0.9064083433975277,0.9077226390924314,0.913848228534618,0.9252759615919127,0.8835093896887366,0.9008910088755753,0.8805731154130716,1.0,0.8710017861425662,0.8867297251952079,0.8502278018889637,0.8507056442295826,0.862793255231095,0.8801314851369995,0.8905515180090366,0.8811285279652877
TSA_2,0.9542396798952454,0.918826054951668,0.9397663777001227,0.8973531218079531,0.9257106892937547,0.8950392859621183,0.9379343356538759,0.8749534711079234,0.9158591674650701,0.8798961003537252,0.9390335690028907,0.8975696085118224,0.8893464932122642,0.9194810716430132,0.9095495435761055,0.8906902025581965,0.8999064519702923,0.9159490273762194,0.8685437575431523,0.8870771990908898,0.8021133082062886,0.8710017861425662,1.0,0.9626918000847741,0.9206739487243593,0.9238390880096238,0.9112106083370389,0.9226514545951889,0.926368470169872,0.9431969583569856
FAP_2,0.9513447591615611,0.9267990901771985,0.9454417966265379,0.8934066185508902,0.9336349286491558,0.9067785207890332,0.9347248738156491,0.8824868337807128,0.9139619229389654,0.8887892642085479,0.9309410164833126,0.885895612287506,0.9000090718392209,0.8989807782628938,0.9149189872802952,0.9029785597545351,0.9106273027620255,0.9217529186073843,0.8773005820937261,0.8913786016092247,0.8247283492888771,0.8867297251952079,0.9626918000847741,1.0,0.9211243654015332,0.9278742145841163,0.9190995411369834,0.9374518305532427,0.9398389493460515,0.9561385769732311
NS_2,0.9523476820398383,0.9004389168806903,0.9347402553501263,0.8723719397365074,0.9176539160229151,0.8724846011972294,0.9537845814083086,0.8504274269978064,0.8684700617853667,0.8682787325824919,0.9524407471457208,0.8704283351957273,0.8784967934166671,0.8792116010567835,0.8791703581745158,0.867330673449332,0.8827009324854094,0.8964446535297381,0.8427523007843275,0.8588977364780529,0.7850999178370255,0.8502278018889637,0.9206739487243593,0.9211243654015332,1.0,0.9682539234312728,0.9436588890334728,0.9509414075054083,0.9428235326244468,0.9511863386587959
NS_1,0.9397888976171087,0.9068787091977539,0.9369263320420149,0.8670238639530323,0.9220069572578089,0.8696723164947057,0.9443318359555208,0.8526168943075022,0.873494136414394,0.8677145182513335,0.9346354323032374,0.8725504262173476,0.8715208012899864,0.8747808943615498,0.8859693105521281,0.8819168873636558,0.8917030003236417,0.907033362576856,0.8627379276825784,0.8760074015597431,0.7791295643815112,0.8507056442295826,0.9238390880096238,0.9278742145841163,0.9682539234312728,1.0,0.9398784494248034,0.9524009143424046,0.9529466135437986,0.9476018160067012
AP.7,0.9243355943551723,0.8902705141082633,0.9196041931770914,0.870778495840334,0.906475994349847,0.8759970972912432,0.914860785224115,0.8699256552518475,0.8642648805849463,0.8729182602799602,0.9198049650476657,0.855594022254225,0.874339654798581,0.8665047273731281,0.8791970970752003,0.8586194048097439,0.8787846163102088,0.8908958426113344,0.8441591214998955,0.854441157347523,0.8126069279819831,0.862793255231095,0.9112106083370389,0.9190995411369834,0.9436588890334728,0.9398784494248034,1.0,0.9298479036252433,0.9630928306753923,0.9240041634012367
AP.8,0.9344728025072979,0.911699304379557,0.9329331062397578,0.8755683906517027,0.9334392306432123,0.8824232074273536,0.92369108140252,0.8609754388413228,0.8807289509919592,0.8826778550071313,0.9283262809087749,0.870002763288937,0.8956048444766633,0.8854591402471251,0.88444785856558,0.8944793072956122,0.9075774466356576,0.9190565177713496,0.8732946810747017,0.8777984377302023,0.8191963182172312,0.8801314851369995,0.9226514545951889,0.9374518305532427,0.9509414075054083,0.9524009143424046,0.9298479036252433,1.0,0.9456354535154251,0.9670724091881052
AP.9,0.9336926033641232,0.9138115690881073,0.9363322807247205,0.8828425512204017,0.9338051964169222,0.895224079483398,0.9243741395280077,0.8838016186952456,0.8767008459725611,0.8878244141135159,0.9206607263932923,0.8744033239669402,0.8961407471764633,0.8832782833243763,0.8944999336786373,0.8849307442415371,0.9073776152097559,0.9178411108561049,0.8720609768318175,0.8833766129304168,0.8338389595352484,0.8905515180090366,0.926368470169872,0.9398389493460515,0.9428235326244468,0.9529466135437986,0.9630928306753923,0.9456354535154251,1.0,0.9437510748084847
