,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304988,GSM3304990,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305064,GSM3305069,GSM3305076,GSM3305078,GSM3305083,GSM3305085,GSM3305086,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6,AP.7,AP.8,AP.9,AP.10
GSM2674199,0.8915299000570484,0.9084308928791491,0.9120357405527688,0.9037779219508344,0.9133957987849307,0.8908533885294899,0.8639694197968811,0.895094607950317,0.8970599445491354,0.8961953359591668,0.8944699343665572,1.0,0.8941621434658648,0.9040148901823366,0.9161187565661824,0.9002204165024461,0.897795092527879,0.9211381960048749,0.8718615658587133,0.9078017482697136,0.8704283351957273,0.8725504262173476,0.8718758209567123,0.8896318612392548,0.8924262338828792,0.8880403988316639,0.8578284535798937,0.8946486271202833,0.8865661067338845,0.8561546417542718,0.9057817360102951,0.8805351521520763,0.8783950468047764,0.8219527382401113,0.8619237864484137,0.8857294598286327,0.8807408631696687,0.9104826138370395,0.9021641728559178,0.8745285069046764,0.8748274629461241,0.872364103608644,0.8855920788896559,0.844191543724644,0.8653570057052717,0.855594022254225,0.870002763288937,0.8744033239669402,0.8826790369529203
GSM2674200,0.8931024668478975,0.9034724030777587,0.9169620362625733,0.905732505159864,0.9205067578278026,0.9219552593103362,0.8589266678391436,0.8987086250519823,0.8985532112676572,0.9179452798781924,0.8850954490575635,0.8941621434658648,1.0,0.8865703960967408,0.9053318020758356,0.896370995733408,0.9286685255435728,0.9203071658323924,0.8983010917606815,0.9116921892984798,0.8784967934166671,0.8715208012899864,0.890463852319705,0.9081257391483404,0.8862146145891586,0.8998090098561452,0.8495252773941816,0.9034342130584958,0.8909618477095538,0.8668185144775805,0.9134507406616253,0.8852493800094628,0.8766915066152369,0.8001956550164586,0.8764483017058882,0.8875559941121937,0.88359266046304,0.8893789489866568,0.907366518918972,0.8937917954327858,0.8865053946110558,0.8850196505333182,0.8961671547053917,0.8858257958481202,0.8698933239413337,0.874339654798581,0.8956048444766633,0.8961407471764633,0.8982659076426522
GSM2674201,0.9043459814709733,0.8910672561469326,0.9061260628985627,0.885112217728469,0.9002786598386031,0.8702632644809657,0.8851839505062975,0.8699450619540166,0.9031814139282741,0.8746306720754332,0.9044952916937818,0.9040148901823366,0.8865703960967408,1.0,0.8724963446493834,0.8759536220490091,0.8838120507019723,0.889686981382944,0.8546820160677557,0.8637921889484659,0.8792116010567835,0.8747808943615498,0.8858959860546156,0.887280480343426,0.8949360838058764,0.8996097672276014,0.8591230842414733,0.9009038039842817,0.8933206650750434,0.8695140617081877,0.9137894523521469,0.8872141223776037,0.8847849015036516,0.810666795293764,0.8839410655766902,0.9037384810146496,0.8915047243511202,0.9155058904417317,0.9141296917165459,0.8931199043637565,0.8873925845410259,0.8810323132512861,0.890763094631939,0.8512378661093627,0.8664514212127542,0.8665047273731281,0.8854591402471251,0.8832782833243763,0.9001351859894037
GSM2674202,0.902009495534871,0.9198505684505027,0.9340188628966286,0.9151724073826241,0.9172448994077601,0.9270539575192926,0.875070463835427,0.903317892748464,0.9124480160774262,0.9077904449827056,0.896799626278866,0.9161187565661824,0.9053318020758356,0.8724963446493834,1.0,0.9126312435050747,0.9165592330514416,0.9318185654459833,0.8912170499848787,0.9142741333537092,0.8791703581745158,0.8859693105521281,0.8901920546930562,0.8956825426087024,0.9033198961967129,0.9078779881959583,0.8645060967171132,0.9051507675116749,0.89040430512489,0.8755367130457334,0.9104316168927045,0.8811148295506358,0.8923229002557641,0.8483670386472868,0.8853643664947541,0.8901887144383667,0.8964182441841816,0.8942301966715698,0.9131698290334166,0.8986583466917704,0.8934356861370086,0.8885243066674324,0.9073683711950427,0.8672820703019194,0.8921827729228236,0.8791970970752003,0.88444785856558,0.8944999336786373,0.8991543552425421
GSM2674203,0.8866817508275384,0.9228764268742616,0.9204486933936318,0.897640339090663,0.9212062922022733,0.9029096608393852,0.8484840950009503,0.9042759153363182,0.8995416706768163,0.906829138797979,0.867203700558572,0.9002204165024461,0.896370995733408,0.8759536220490091,0.9126312435050747,1.0,0.9223211598842109,0.9430553983283487,0.8950754361066999,0.9286844325032446,0.867330673449332,0.8819168873636558,0.8633197727271759,0.9033890388106025,0.9017251159413542,0.8938439584702059,0.8572179114198524,0.9072438652191094,0.8940699444940705,0.8443923928046774,0.8959375863349028,0.8902721983324219,0.8892564345266518,0.8139515619640575,0.8822954349385834,0.8660778182181641,0.8703765707950013,0.8725150938591448,0.8941557205643026,0.8983544529168511,0.8772557442367835,0.8952054009675295,0.9046379005242695,0.8887152848579841,0.8553928375949258,0.8586194048097439,0.8944793072956122,0.8849307442415371,0.8954081946458932
GSM2674204,0.8883662745200188,0.924648701714902,0.9278752097650663,0.9208708052863134,0.9230841892902527,0.934708635683001,0.8588282857054922,0.9146811232302269,0.9027200071419581,0.936863652604721,0.8783999559194517,0.897795092527879,0.9286685255435728,0.8838120507019723,0.9165592330514416,0.9223211598842109,1.0,0.9372862526623935,0.9400411439898879,0.941936110845233,0.8827009324854094,0.8917030003236417,0.884045083614336,0.9240835276408476,0.8995292350230605,0.8987594243041009,0.8603783967687253,0.9191339408968014,0.9072433710134158,0.8536941106308056,0.9151518469006855,0.9077535918858382,0.8944965496150479,0.797029200525512,0.8847816917645871,0.8839147228058635,0.8783483644241825,0.8825193624963165,0.9036576417392057,0.9075740195969398,0.8939443227716047,0.9081928651834584,0.9094776226861516,0.9015854175645773,0.8671857065526242,0.8787846163102088,0.9075774466356576,0.9073776152097559,0.9070666156853755
GSM2674205,0.9111091682935796,0.9387312237074873,0.941306019998897,0.9152431408492961,0.9508349478808189,0.9242790600685853,0.8711909694658111,0.9219426727107903,0.9082120921995647,0.9242647369547015,0.885200632089483,0.9211381960048749,0.9203071658323924,0.889686981382944,0.9318185654459833,0.9430553983283487,0.9372862526623935,1.0,0.9090365922562916,0.9427832750945633,0.8964446535297381,0.907033362576856,0.8896158962523925,0.9281602648019277,0.9257075226844251,0.9153406412391089,0.8822597666863798,0.9268847377196056,0.9240277731239671,0.8652318245399905,0.9282296933884335,0.925679368315643,0.9137828146632897,0.8199235037103012,0.8985894060162586,0.8885740931355289,0.8918132086516158,0.8940127839400984,0.9183439176657882,0.9191627114172761,0.9069156848535251,0.9240863524479933,0.9292108160105726,0.9011728790650436,0.879567368053427,0.8908958426113344,0.9190565177713496,0.9178411108561049,0.9180450550895849
GSM2674206,0.8468768196400553,0.8835123252991589,0.8969393841571184,0.8856727553422056,0.8943133975802302,0.9006308095751268,0.8205022030561193,0.8882357186752514,0.8931691138619041,0.9198315192265277,0.8398268455510628,0.8718615658587133,0.8983010917606815,0.8546820160677557,0.8912170499848787,0.8950754361066999,0.9400411439898879,0.9090365922562916,1.0,0.9139608759206127,0.8427523007843275,0.8627379276825784,0.8450428740435451,0.8876227194731227,0.8709420620446081,0.8633182312380896,0.8310517696793726,0.8827277828409269,0.8793063153849824,0.8146164887542363,0.8740864438072743,0.8786327561211916,0.8676354448875787,0.7785574008939815,0.8582080291344689,0.8415164152292813,0.8423210083153561,0.8439062993829771,0.864382887664625,0.8770579720776549,0.8626334287133245,0.8791064213654721,0.8791307032737641,0.877053996279181,0.8344427484434797,0.8441591214998955,0.8732946810747017,0.8720609768318175,0.8685354160723945
GSM2674207,0.8768630268459918,0.9286679090108853,0.9163269259234538,0.9190595707447877,0.907036998080561,0.9171009628429296,0.8364270587961389,0.9193422549824667,0.8895775955955031,0.9186856763000885,0.8594451761969929,0.9078017482697136,0.9116921892984798,0.8637921889484659,0.9142741333537092,0.9286844325032446,0.941936110845233,0.9427832750945633,0.9139608759206127,1.0,0.8588977364780529,0.8760074015597431,0.8549725985409999,0.9025055924378242,0.8939948765359639,0.8798029947243342,0.8539171207526494,0.9026434546452309,0.8907570570046389,0.8363836151378355,0.8924590409677648,0.8830319855199423,0.8819245880505678,0.8080505850699097,0.8641997941152962,0.8608393109892827,0.8648042882562614,0.875851334358,0.8825890788555019,0.8848406617188916,0.8702798588107813,0.8841755434538926,0.895266708027809,0.8702166355445793,0.8586694785093966,0.854441157347523,0.8777984377302023,0.8833766129304168,0.8839954938832076
NS_2,0.9523476820398383,0.9004389168806903,0.9347402553501263,0.8723719397365074,0.9176539160229151,0.8724846011972294,0.9537845814083086,0.8504274269978064,0.8684700617853667,0.8682787325824919,0.9524407471457208,0.8704283351957273,0.8784967934166671,0.8792116010567835,0.8791703581745158,0.867330673449332,0.8827009324854094,0.8964446535297381,0.8427523007843275,0.8588977364780529,1.0,0.9682539234312728,0.9229149423405326,0.9077896482835702,0.9266291337154531,0.9262032769459015,0.9323060960856245,0.9432540085273278,0.9201016987012762,0.8969140153750866,0.9376025353612071,0.9044827478098459,0.9254131920268329,0.8171542332571405,0.9150761887592828,0.9404966801958726,0.933293059045929,0.894157924736163,0.9461944928139836,0.946870303625531,0.9575862389084994,0.9527581044546534,0.929049364637599,0.8190666962629185,0.894112316501868,0.9436588890334728,0.9509414075054083,0.9428235326244468,0.9511863386587959
NS_1,0.9397888976171087,0.9068787091977539,0.9369263320420149,0.8670238639530323,0.9220069572578089,0.8696723164947057,0.9443318359555208,0.8526168943075022,0.873494136414394,0.8677145182513335,0.9346354323032374,0.8725504262173476,0.8715208012899864,0.8747808943615498,0.8859693105521281,0.8819168873636558,0.8917030003236417,0.907033362576856,0.8627379276825784,0.8760074015597431,0.9682539234312728,1.0,0.9064188180646479,0.9134646050630861,0.932772514275483,0.9192368113499874,0.9510948080736569,0.9503300183548956,0.9271737571306133,0.8811728946639715,0.9315420468664797,0.9133392866678337,0.9434351196825209,0.8265271306784865,0.9219494523782517,0.9184428232368343,0.9152465054655771,0.8738219183751939,0.9383523818111839,0.954273502558116,0.9558364302259024,0.9704723191645329,0.9356054128875878,0.8308678862998612,0.8923927282188675,0.9398784494248034,0.9524009143424046,0.9529466135437986,0.9476018160067012
GSM3304988,0.936400497642308,0.8952337058403684,0.9226883783086459,0.8802977089247572,0.9101620167843081,0.8980498928645533,0.9228097722182689,0.8666690763785035,0.8898490287259201,0.8781614546304475,0.9234922216849651,0.8718758209567123,0.890463852319705,0.8858959860546156,0.8901920546930562,0.8633197727271759,0.884045083614336,0.8896158962523925,0.8450428740435451,0.8549725985409999,0.9229149423405326,0.9064188180646479,1.0,0.8907581840816304,0.8993799909829436,0.9346727767455754,0.8706810362887648,0.9186628803605287,0.8892974544661234,0.9124344496637274,0.9254083284162091,0.8787915193427372,0.895688170600149,0.8345294189629046,0.905552808539607,0.9258759627254489,0.9246724793349379,0.904667609485052,0.9422161539760803,0.9193311281016517,0.9298018076566475,0.9084309306473463,0.9102398724660501,0.8602971873097333,0.8977684417198577,0.9132005032863697,0.909825883700878,0.9188367011438282,0.9268634845501587
GSM3304990,0.9072548256327304,0.9167305650541161,0.9267380887687539,0.9009499328675299,0.9398287400833409,0.9059701712802843,0.8809581320286045,0.8954666850987012,0.882338043439346,0.8996119081101233,0.898932743366719,0.8896318612392548,0.9081257391483404,0.887280480343426,0.8956825426087024,0.9033890388106025,0.9240835276408476,0.9281602648019277,0.8876227194731227,0.9025055924378242,0.9077896482835702,0.9134646050630861,0.8907581840816304,1.0,0.8995601615719876,0.9072297174899103,0.8766928932823235,0.9271363879180807,0.9247183307931091,0.8464845400732233,0.926956124034964,0.9273243860211886,0.8953616458509707,0.7668774506900868,0.8807361256407719,0.8959694333732008,0.8931749841771955,0.8866091422637492,0.9114358216423646,0.915577022561663,0.9152719979329326,0.9252914397555493,0.9224345779678147,0.8962954652584504,0.8718584387403407,0.898817417216129,0.9206350036779762,0.9242184767938384,0.9155334601267971
