,AD1,AD6,AD10,AD11,AD12,AD13,AD14,AD15,AD16,AD17,AD18,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088
AD18,0.9231740720671564,0.9161254866925063,0.9101371937300142,0.9028317757572794,0.8403323231955998,0.8845682184247686,0.919394204253104,0.9103909900902037,0.9144340449010819,0.9246722064359405,1.0,0.8910397889082606,0.9014821003446045,0.8907909239460428,0.8969615673292227,0.9034971779471707,0.8967032187304218,0.8783630840897017,0.9164852101321123,0.896841259630273,0.8626057627283973,0.8992298469519275,0.9130404612047819,0.8591857332921958,0.9046946197399908,0.8930452577065449,0.8414774059807079,0.9064007241469719,0.8449604493288744
GSM3304957,0.9330487889498768,0.9214862374164294,0.9063491660446987,0.9194888913899005,0.9129860291214752,0.8986988016950425,0.9386051476884663,0.9419029650611636,0.9121315754850461,0.9230280490798621,0.8910397889082606,1.0,0.9100719416190053,0.899185574470508,0.9386588690656968,0.9328746572820613,0.886862894088698,0.9227252657932791,0.9271881088718875,0.9318490885747605,0.9241859384424723,0.9154624321022136,0.8947329753789832,0.8922598387307712,0.947128196793552,0.9386951354256792,0.8565592272953629,0.9386868108137137,0.9319861983253686
GSM3304968,0.9303447811476426,0.9301278129735563,0.913765617099118,0.8969757318975157,0.8841913066775566,0.9011035424709168,0.9290756685214314,0.9249722706790403,0.8986669038269025,0.9194418275895132,0.9014821003446045,0.9100719416190053,1.0,0.914253706687581,0.9175988136111771,0.9194322399165129,0.9151788406214418,0.9087520548901654,0.9320471104719277,0.9198742483312327,0.8903185013377276,0.9251283922981701,0.9268481017961515,0.9020832029136582,0.9220903916152641,0.9295045080464621,0.8618908309654876,0.9206668756526354,0.8939604223476932
GSM3304969,0.9333353084673566,0.9319013540960627,0.9114986408481996,0.8935789377480101,0.888626008134953,0.8793329935794748,0.9325871657353179,0.9289187104371146,0.8969500908665139,0.9121257590433522,0.8907909239460428,0.899185574470508,0.914253706687581,1.0,0.9017866801467408,0.90998008526775,0.9088099477193212,0.8831151345471543,0.9264071936386697,0.9122491811689735,0.9044436049192445,0.9060703551757257,0.9186441813311771,0.8942575331136409,0.9055575792671255,0.9032340650997963,0.875275789405356,0.9187851605198685,0.8829065261840966
GSM3304972,0.9383170777170743,0.9345291816855033,0.9222118455019598,0.918725373773106,0.9164658621069458,0.9186632230883794,0.9489280724958536,0.9381537616085325,0.9251769331045635,0.936464091793398,0.8969615673292227,0.9386588690656968,0.9175988136111771,0.9017866801467408,1.0,0.9392323329070464,0.8860988898116323,0.9229127031850705,0.9330284264333191,0.9433772721173985,0.922995503203124,0.9338064515996425,0.8991568587061556,0.8825677790237808,0.9554551202692259,0.9471948046064261,0.8521078570533493,0.9454807488222136,0.9166948547195687
GSM3304976,0.9463520016120873,0.9471880077986535,0.9382290638564079,0.936875383338259,0.9404029038147702,0.9278670603923647,0.955322977022241,0.9476126463439062,0.9423367099830274,0.9468298412729217,0.9034971779471707,0.9328746572820613,0.9194322399165129,0.90998008526775,0.9392323329070464,1.0,0.8902935642167379,0.9182413800772397,0.9312089319294022,0.9358072473219841,0.9305138411483318,0.9334615091796196,0.9023280333257682,0.880730624253658,0.9375602371065617,0.9405828351435611,0.8658184330809957,0.9485092727389806,0.9081202692582215
GSM3304978,0.9195716398434919,0.9172263038691988,0.9007806537578531,0.8771819730586774,0.8578735928259948,0.880619015244813,0.9116114639017494,0.9112695136307262,0.8752509386485606,0.9006375844208292,0.8967032187304218,0.886862894088698,0.9151788406214418,0.9088099477193212,0.8860988898116323,0.8902935642167379,1.0,0.878528050427313,0.9289242114017293,0.8996521001384288,0.8727289925864623,0.9139242220777812,0.9546455355757242,0.9012343796879065,0.8896947647399094,0.9010462647308385,0.8829218813684867,0.8906718761496911,0.8744295954259673
GSM3304979,0.8929456762048309,0.9019608314927524,0.8767972778699865,0.8950232340516637,0.8642050766671321,0.9193160717808658,0.9056481016967706,0.898376497400593,0.8876023285078274,0.8921175959848371,0.8783630840897017,0.9227252657932791,0.9087520548901654,0.8831151345471543,0.9229127031850705,0.9182413800772397,0.878528050427313,1.0,0.9128226836572761,0.9078829722365005,0.9002849950982407,0.913644235209182,0.8927901300765774,0.9114967737875603,0.9193849210457014,0.9386173738410202,0.8680520655445181,0.9149618696648583,0.9034404553617996
GSM3305004,0.9497762531258538,0.9480944321743071,0.937412040675557,0.9188137739948252,0.9078551078223497,0.9125882344194921,0.948357225954487,0.9430895252422772,0.9217451490080024,0.9338466467958504,0.9164852101321123,0.9271881088718875,0.9320471104719277,0.9264071936386697,0.9330284264333191,0.9312089319294022,0.9289242114017293,0.9128226836572761,1.0,0.9405061282245307,0.9158439391423869,0.9316185032828005,0.9371954720276059,0.9054461651379542,0.941781274539059,0.9391975959984183,0.8758923327279815,0.9392634670530273,0.9053329402207531
GSM3305008,0.9506487026197633,0.9445664409321072,0.9413058755494942,0.9295689395523543,0.9251722546300596,0.9183570782405555,0.9522567802296121,0.9434765549395377,0.926605780794553,0.9403571719834244,0.896841259630273,0.9318490885747605,0.9198742483312327,0.9122491811689735,0.9433772721173985,0.9358072473219841,0.8996521001384288,0.9078829722365005,0.9405061282245307,1.0,0.919569057459614,0.9349036046770072,0.91045189505722,0.87458423254513,0.9463455424983408,0.9376610538600094,0.8525912286093941,0.9474677279418507,0.9023921910908619
GSM3305010,0.9338694592655519,0.9341783450943872,0.911344576274105,0.9152320949463952,0.9302409180063783,0.8798627437906451,0.9459502090209696,0.9400054645651538,0.9184615894826013,0.9134877264034291,0.8626057627283973,0.9241859384424723,0.8903185013377276,0.9044436049192445,0.922995503203124,0.9305138411483318,0.8727289925864623,0.9002849950982407,0.9158439391423869,0.919569057459614,1.0,0.9169574594953154,0.8806011678036104,0.8786454044730949,0.9279165311069438,0.9226625089763917,0.8893036972882117,0.937826950890782,0.924207460154086
GSM3305020,0.937129064275509,0.9360669219694079,0.9294572464158306,0.9184265814733463,0.9100498372561155,0.9336092645686109,0.9485275635725344,0.9364234218609124,0.9248647869668764,0.9402807887671584,0.8992298469519275,0.9154624321022136,0.9251283922981701,0.9060703551757257,0.9338064515996425,0.9334615091796196,0.9139242220777812,0.913644235209182,0.9316185032828005,0.9349036046770072,0.9169574594953154,1.0,0.9214771793955399,0.886899345363476,0.9290947761351438,0.934839013038189,0.8684391090321664,0.9296488689382503,0.8973515693909834
