,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
SSA.P.11,0.9465523458505019,0.9573663283635643,0.9199946793020054,0.9379924642397359,0.9592912079054535,0.9216263666992814,0.9654411827159881,0.9588768048881536,0.9704040564413272,0.9605500563807365,1.0,0.9711410879938968,0.9208802552852886,0.899998291428636,0.9656468618893194,0.9377362384897545,0.8996030508643422,0.9333827492158671,0.9602916741592807,0.9057074279858701,0.93712124188835
SSA.P.12,0.9466252417568397,0.9400082792308933,0.9321985072496708,0.9341085344323015,0.9251154698693989,0.9289065298639588,0.9415164114126993,0.9529896326900369,0.9647200277054628,0.9559352589278124,0.9711410879938968,1.0,0.9019398921174063,0.8758454608945785,0.9499352694509484,0.9507987996400024,0.9311409532927922,0.884803168028313,0.9300686892773201,0.8411831640666996,0.9504931274790015
SSA.P.13,0.9245677972683004,0.9451376455786885,0.946075110646906,0.9444003242924369,0.9407172477558552,0.952066379217162,0.9388494339325557,0.9353676175272204,0.9238498317842019,0.9310312147772405,0.9208802552852886,0.9019398921174063,1.0,0.9544261285059309,0.9524147878394682,0.9221473890365054,0.9078120937910703,0.922416011836542,0.9450098311581975,0.8326578107697473,0.9027046881206128
SSA.P.14,0.9005979079640026,0.9318768086692363,0.9300093341707134,0.934228129731514,0.9310626726738465,0.9250026303415224,0.9058543336896991,0.9077515506931283,0.9029588116455666,0.90387370443662,0.899998291428636,0.8758454608945785,0.9544261285059309,1.0,0.9290176986705926,0.9123467180840124,0.895906938585315,0.8943953124431004,0.921196359209472,0.8019194950990329,0.8858177392680231
SSA.P.15,0.9568694210848936,0.9762954506636812,0.9514326342977405,0.9646936486931955,0.9716590369829069,0.9386414607719286,0.9664497696394647,0.956557102075227,0.9590980924044563,0.9489550500780713,0.9656468618893194,0.9499352694509484,0.9524147878394682,0.9290176986705926,1.0,0.950767155870937,0.93427598512958,0.9330350680265284,0.9653061197781744,0.8761802820654245,0.9387221011657407
SSA.P.16,0.9600012721271224,0.9465163384104495,0.9609676831751566,0.947470344837262,0.9243057938261064,0.9335507245477029,0.9119039499365872,0.935675469486562,0.9398171992794049,0.9345090216943088,0.9377362384897545,0.9507987996400024,0.9221473890365054,0.9123467180840124,0.950767155870937,1.0,0.9558326510442668,0.8710549217544821,0.9299448459914869,0.7902246285160603,0.9371016695303818
SSA.P.17,0.9406262711528115,0.9354878916219443,0.9653291472794001,0.9470984109725756,0.903484623505538,0.9322612978502646,0.8893480828122959,0.9116438850718557,0.915988557356776,0.9095793616861932,0.8996030508643422,0.9311409532927922,0.9078120937910703,0.895906938585315,0.93427598512958,0.9558326510442668,1.0,0.8358787489139684,0.8902757026922234,0.7381650564608422,0.9238114123842555
SSA.P.18,0.8903899210905739,0.9361673079122633,0.8675867709377737,0.8973156788700379,0.9531431618403349,0.8893688423147988,0.9522263057561304,0.9268038624792606,0.9205698431414102,0.9116066485997393,0.9333827492158671,0.884803168028313,0.922416011836542,0.8943953124431004,0.9330350680265284,0.8710549217544821,0.8358787489139684,1.0,0.9405575257097303,0.9371089267545101,0.8620472397924125
SSA.P.19,0.9379400352375619,0.956015380836701,0.9170300929466285,0.9486318994975854,0.9611722383191136,0.9121637469156348,0.9578933142381401,0.937773198313504,0.950383725746086,0.9459972304835959,0.9602916741592807,0.9300686892773201,0.9450098311581975,0.921196359209472,0.9653061197781744,0.9299448459914869,0.8902757026922234,0.9405575257097303,1.0,0.893350278801061,0.9094226858147183
SSA.P.20,0.8250256153344262,0.880004987881978,0.7674532403443665,0.8182390872577833,0.9127760671350915,0.797904001441348,0.925434697331945,0.8757367333549144,0.8775955941817427,0.8593088137245383,0.9057074279858701,0.8411831640666996,0.8326578107697473,0.8019194950990329,0.8761802820654245,0.7902246285160603,0.7381650564608422,0.9371089267545101,0.893350278801061,1.0,0.8143077801136285
SSA.P.21,0.9352669555650237,0.9263855850562633,0.931163303955103,0.9294527014173076,0.9102993187671226,0.9197543860632901,0.9227382926077081,0.9290620533328486,0.9485427718975039,0.9470146282363627,0.93712124188835,0.9504931274790015,0.9027046881206128,0.8858177392680231,0.9387221011657407,0.9371016695303818,0.9238114123842555,0.8620472397924125,0.9094226858147183,0.8143077801136285,1.0
